project_id,building_type,city,state,built_up_area_sqft,num_floors,project_start_date,estimated_duration_months,total_civil_cost_inr,total_electrical_cost_inr,total_plumbing_cost_inr,total_project_cost_inr,cost_per_sqft_inr
PRJ0019,Commercial - Hospital,Hyderabad,Telangana,202743.0,4,2021-08-14,10.0,1292429146.57,27412600.59,17491326.98,1337333074.14,6596.2
PRJ0020,Commercial - Hospital,Chennai,Tamil Nadu,283920.0,5,2023-07-22,23.0,1814085094.36,31333256.19,16815994.63,1862234345.18,6559.01
PRJ0021,Industrial - Heavy Manufacturing,Chennai,Tamil Nadu,377045.0,7,2023-05-01,10.0,1759416054.93,81123143.42,32725734.48,1873264932.83,4968.28
PRJ0022,Residential - Independent House,Chennai,Tamil Nadu,1146.0,7,2021-06-11,6.0,7817239.39,849740.13,64917.09,8731896.61,7619.46
PRJ0023,Industrial - Warehouse,Hyderabad,Telangana,178836.0,6,2021-10-18,10.0,1186001374.84,29601766.08,11771255.68,1227374396.6,6863.13
PRJ0024,Residential - Independent House,Ahmedabad,Gujarat,2238.0,1,2021-07-28,10.0,13107934.27,1487848.14,307849.99,14903632.4,6659.35
PRJ0025,Residential - Independent House,Jaipur,Rajasthan,2483.0,7,2024-09-24,15.0,7918192.09,1399107.8,118867.79,9436167.68,3800.31
PRJ0026,Residential - Independent House,Coimbatore,Tamil Nadu,1254.0,9,2021-06-06,17.0,4396925.41,291047.47,169934.85,4857907.73,3873.93
PRJ0027,Industrial - Warehouse,Ahmedabad,Gujarat,215945.0,1,2023-04-03,9.0,1306493153.2,42501014.85,9299255.43,1358293423.48,6290.0
PRJ0028,Industrial - Heavy Manufacturing,Mumbai,Maharashtra,157414.0,5,2022-03-17,11.0,1173636867.54,32206075.8,23824222.81,1229667166.15,7811.68
PRJ0029,Commercial - Office Building,Pune,Maharashtra,115519.0,5,2025-06-18,16.0,482389876.75,22980646.39,15428469.83,520798992.97,4508.34
PRJ0030,Residential - Apartment Complex,Coimbatore,Tamil Nadu,112294.0,11,2021-04-03,12.0,533332289.52,19059749.94,10696590.18,563088629.64,5014.41
PRJ0031,Commercial - Office Building,Pune,Maharashtra,182967.0,3,2024-02-04,20.0,1019669960.54,17367028.25,12648839.27,1049685828.06,5737.02
PRJ0032,Industrial - Warehouse,Bengaluru,Karnataka,212676.0,2,2023-12-29,7.0,1202344987.65,37628546.42,9671344.02,1249644878.09,5875.82
PRJ0033,Industrial - Light Manufacturing,Coimbatore,Tamil Nadu,35397.0,15,2022-03-04,23.0,131774407.34,4816957.41,2533019.46,139124384.21,3930.4
PRJ0034,Residential - Independent House,Mumbai,Maharashtra,1233.0,2,2022-06-05,7.0,10081340.72,2121125.47,175133.35,12377599.54,10038.6
PRJ0035,Commercial - Hotel,Nashik,Maharashtra,244732.0,4,2025-12-10,5.0,1130430693.64,47320828.36,24951673.57,1202703195.57,4914.37
PRJ0036,Commercial - Hotel,Kolkata,West Bengal,65841.0,1,2022-10-24,11.0,350637361.05,14196427.76,5412159.68,370245948.49,5623.33
PRJ0037,Commercial - Office Building,Jaipur,Rajasthan,15093.0,13,2024-11-25,26.0,63055372.98,2538109.39,1212036.0,66805518.37,4426.26
PRJ0038,Industrial - Light Manufacturing,Nashik,Maharashtra,10865.0,3,2023-04-03,23.0,46576724.81,2392821.3,1172929.94,50142476.05,4615.05
PRJ0039,Industrial - Warehouse,Coimbatore,Tamil Nadu,202088.0,4,2024-12-23,17.0,932957790.33,39441001.38,10835446.08,983234237.79,4865.38
PRJ0040,Industrial - Heavy Manufacturing,Ahmedabad,Gujarat,76352.0,7,2024-06-19,8.0,433532224.04,11269582.91,2694296.4,447496103.35,5860.96
PRJ0041,Commercial - Retail / Mall,Hyderabad,Telangana,52789.0,6,2021-08-01,9.0,255133158.24,11755584.28,4248120.33,271136862.85,5136.24
PRJ0042,Residential - Apartment Complex,Chennai,Tamil Nadu,63539.0,1,2025-11-09,13.0,256435322.34,11146479.26,6483124.47,274064926.07,4313.33
PRJ0043,Industrial - Heavy Manufacturing,Chennai,Tamil Nadu,276760.0,11,2024-08-18,13.0,1507950178.5,32647593.73,29974364.03,1570572136.26,5674.85
PRJ0044,Commercial - Office Building,Bengaluru,Karnataka,118238.0,5,2025-12-16,3.0,482085457.82,22918435.32,6288078.85,511291971.99,4324.26
PRJ0045,Residential - Apartment Complex,Lucknow,Uttar Pradesh,59232.0,6,2022-09-01,9.0,234368781.59,10336792.14,6035312.96,250740886.69,4233.2
PRJ0046,Residential - Apartment Complex,Indore,Madhya Pradesh,71976.0,8,2023-05-10,13.0,315283728.96,14595392.16,4870707.71,334749828.83,4650.85
PRJ0047,Commercial - Retail / Mall,Indore,Madhya Pradesh,263030.0,4,2025-05-18,14.0,1040484495.43,17766264.62,11851184.1,1070101944.15,4068.36
PRJ0048,Commercial - Hotel,Jaipur,Rajasthan,224595.0,1,2023-01-20,20.0,1229375681.58,39833158.49,12419898.89,1281628738.96,5706.4
PRJ0049,Commercial - Office Building,Delhi,Delhi,194239.0,1,2023-10-10,11.0,809545662.82,42961991.73,15902742.56,868410397.11,4470.83
PRJ0050,Industrial - Light Manufacturing,Jaipur,Rajasthan,88816.0,10,2022-11-08,19.0,524737821.78,15328266.3,1131003.69,541197091.77,6093.46
PRJ0051,Industrial - Light Manufacturing,Chennai,Tamil Nadu,18335.0,1,2021-06-28,12.0,90910750.48,4087429.81,1133992.67,96132172.96,5243.1
PRJ0052,Commercial - Hospital,Jaipur,Rajasthan,62018.0,3,2025-03-06,16.0,288712417.14,11447855.01,4236329.38,304396601.53,4908.2
PRJ0053,Commercial - Office Building,Pune,Maharashtra,62442.0,9,2023-04-17,19.0,345397890.1,11693847.83,3270414.54,360362152.47,5771.15
PRJ0054,Commercial - Retail / Mall,Hyderabad,Telangana,265664.0,4,2025-03-21,12.0,1801751363.83,57202764.38,27927324.6,1886881452.81,7102.51
PRJ0055,Residential - Independent House,Hyderabad,Telangana,3361.0,5,2025-04-17,8.0,18945580.26,1705932.17,190384.35,20841896.78,6201.1
PRJ0056,Residential - Independent House,Mumbai,Maharashtra,1856.0,4,2021-06-12,15.0,14441106.35,993376.83,202285.17,15636768.35,8424.98
PRJ0057,Commercial - Hotel,Hyderabad,Telangana,12949.0,6,2023-05-04,14.0,63232839.32,1822151.32,197625.55,65252616.19,5039.2
PRJ0058,Industrial - Light Manufacturing,Coimbatore,Tamil Nadu,131853.0,3,2024-11-01,15.0,468789535.52,15097736.12,10414266.82,494301538.46,3748.88
PRJ0059,Commercial - Hospital,Delhi,Delhi,100095.0,10,2021-11-07,3.0,569630458.86,19754185.95,11238888.17,600623532.98,6000.53
PRJ0060,Industrial - Warehouse,Delhi,Delhi,88978.0,4,2021-09-03,10.0,665288388.07,8789110.99,8251090.38,682328589.44,7668.51
PRJ0061,Commercial - Hotel,Nashik,Maharashtra,34854.0,7,2022-07-07,12.0,232947536.42,5537009.61,1761182.4,240245728.43,6892.92
PRJ0062,Commercial - Hospital,Indore,Madhya Pradesh,241000.0,3,2023-10-12,8.0,927549993.45,35609800.79,21175832.72,984335626.96,4084.38
PRJ0063,Commercial - Hospital,Delhi,Delhi,202367.0,2,2022-02-18,15.0,1523153259.86,25601912.52,12690058.12,1561445230.5,7715.91
PRJ0064,Industrial - Light Manufacturing,Pune,Maharashtra,114894.0,1,2025-01-28,19.0,629863001.16,24946606.41,12597884.21,667407491.78,5808.9
PRJ0065,Commercial - Hotel,Ahmedabad,Gujarat,200276.0,2,2021-01-15,15.0,979481181.35,27464366.67,24540681.47,1031486229.49,5150.32
PRJ0066,Commercial - Office Building,Surat,Gujarat,115843.0,9,2024-09-26,10.0,570904566.2,10027979.44,10339173.86,591271719.5,5104.08
PRJ0067,Industrial - Heavy Manufacturing,Ahmedabad,Gujarat,285582.0,2,2025-06-28,11.0,1519751789.99,31559436.15,27074450.35,1578385676.49,5526.91
PRJ0068,Commercial - Hotel,Lucknow,Uttar Pradesh,95599.0,1,2024-09-29,12.0,542048987.89,9818443.15,11519118.94,563386549.98,5893.23
PRJ0069,Commercial - Retail / Mall,Coimbatore,Tamil Nadu,143735.0,8,2024-02-16,13.0,302618768.6,16474749.22,8418929.37,327512447.19,2278.59
PRJ0070,Industrial - Heavy Manufacturing,Jaipur,Rajasthan,264878.0,4,2023-02-01,3.0,1118845274.31,41532241.17,8974537.89,1169352053.37,4414.68
PRJ0071,Industrial - Warehouse,Indore,Madhya Pradesh,254462.0,5,2025-01-29,28.0,831088898.15,41961911.7,13751033.07,886801842.92,3485.01
PRJ0072,Commercial - Hotel,Jaipur,Rajasthan,197670.0,6,2022-05-31,3.0,992568557.41,19194186.65,2046001.88,1013808745.94,5128.79
PRJ0073,Commercial - Hospital,Surat,Gujarat,139601.0,1,2021-02-14,12.0,589117295.44,9094093.49,14939928.59,613151317.52,4392.17
PRJ0074,Residential - Independent House,Hyderabad,Telangana,1103.0,2,2024-08-21,6.0,6793261.44,1495106.69,250292.82,8538660.95,7741.31
PRJ0075,Commercial - Retail / Mall,Delhi,Delhi,332618.0,5,2023-03-06,14.0,2399518516.46,61733603.56,28956493.61,2490208613.63,7486.69
PRJ0076,Industrial - Heavy Manufacturing,Jaipur,Rajasthan,354204.0,1,2025-10-05,4.0,1468589398.84,52612020.12,23650139.71,1544851558.67,4361.47
PRJ0077,Residential - Apartment Complex,Mumbai,Maharashtra,114096.0,1,2025-05-03,7.0,694390814.99,28600920.87,1877014.08,724868749.94,6353.15
PRJ0078,Commercial - Hospital,Delhi,Delhi,77947.0,1,2021-02-02,18.0,578816851.83,17595362.54,10571311.7,606983526.07,7787.13
PRJ0079,Commercial - Hotel,Bengaluru,Karnataka,207363.0,3,2024-06-07,10.0,960322632.36,25231379.03,11501982.61,997055994.0,4808.26
PRJ0080,Commercial - Office Building,Chennai,Tamil Nadu,114879.0,6,2023-07-29,5.0,526010268.11,14352440.33,8717197.19,549079905.63,4779.64
PRJ0081,Commercial - Hotel,Lucknow,Uttar Pradesh,33823.0,3,2025-02-28,5.0,140551697.48,5282391.73,2392584.61,148226673.82,4382.42
PRJ0082,Commercial - Retail / Mall,Ahmedabad,Gujarat,470934.0,8,2023-02-04,12.0,2808125580.42,75059012.42,56990117.4,2940174710.24,6243.28
PRJ0083,Commercial - Office Building,Ahmedabad,Gujarat,140964.0,11,2023-03-04,9.0,830361770.8,15238395.41,20056706.18,865656872.39,6140.98
PRJ0084,Residential - Independent House,Chennai,Tamil Nadu,1648.0,4,2024-12-23,15.0,7535470.74,1879272.07,269823.24,9684566.05,5876.56
PRJ0085,Industrial - Warehouse,Lucknow,Uttar Pradesh,158718.0,2,2021-01-06,12.0,782833518.89,21479055.85,6572076.78,810884651.52,5108.96
PRJ0086,Residential - Independent House,Coimbatore,Tamil Nadu,1200.0,1,2023-09-07,8.0,4541238.27,999477.39,145620.51,5686336.17,4738.61
PRJ0087,Industrial - Light Manufacturing,Kolkata,West Bengal,21110.0,2,2024-07-09,9.0,103300855.32,3631134.31,1567282.43,108499272.06,5139.71
PRJ0088,Industrial - Light Manufacturing,Kolkata,West Bengal,61593.0,1,2022-06-05,12.0,362506251.78,12153350.29,3082306.61,377741908.68,6132.87
PRJ0089,Residential - Apartment Complex,Hyderabad,Telangana,34275.0,6,2024-03-09,15.0,211713235.35,5789732.11,3547314.28,221050281.74,6449.32
PRJ0090,Residential - Independent House,Lucknow,Uttar Pradesh,3472.0,4,2023-06-27,6.0,14661107.76,1535776.98,203844.98,16400729.72,4723.71
PRJ0091,Commercial - Hotel,Mumbai,Maharashtra,241508.0,1,2025-03-10,3.0,1138847355.83,49479800.61,24164746.54,1212491902.98,5020.5
PRJ0092,Residential - Apartment Complex,Nagpur,Maharashtra,112730.0,11,2021-02-20,22.0,634787003.49,14790975.0,11561035.11,661139013.6,5864.8
PRJ0093,Industrial - Light Manufacturing,Surat,Gujarat,54395.0,6,2024-12-18,13.0,157399687.28,8384230.76,3240742.16,169024660.2,3107.36
PRJ0094,Commercial - Hotel,Kolkata,West Bengal,234008.0,3,2022-07-18,19.0,936973360.51,28831895.95,19604779.07,985410035.53,4211.01
PRJ0095,Residential - Independent House,Surat,Gujarat,1147.0,5,2024-10-31,10.0,3973237.11,1768521.63,172784.27,5914543.01,5156.53
PRJ0096,Commercial - Retail / Mall,Indore,Madhya Pradesh,272109.0,11,2023-10-22,20.0,1676469444.05,41375851.48,28339902.03,1746185197.56,6417.23
PRJ0097,Commercial - Hospital,Pune,Maharashtra,79564.0,5,2024-06-28,4.0,239282226.42,12239743.44,5169985.83,256691955.69,3226.23
PRJ0098,Commercial - Retail / Mall,Lucknow,Uttar Pradesh,189257.0,1,2022-08-24,19.0,727679074.38,21790726.7,19272469.04,768742270.12,4061.9
PRJ0099,Residential - Independent House,Ahmedabad,Gujarat,3482.0,1,2025-04-13,10.0,14260112.14,2210262.47,434361.79,16904736.4,4854.89
PRJ0100,Commercial - Retail / Mall,Mumbai,Maharashtra,455361.0,1,2021-03-22,4.0,2164191555.56,60036805.59,60433749.76,2284662110.91,5017.25
PRJ0101,Commercial - Hospital,Hyderabad,Telangana,50297.0,4,2024-08-12,,340235098.46,12346732.4,1693211.65,354275042.51,7043.66
PRJ0102,Residential - Apartment Complex,Chennai,Tamil Nadu,54889.0,6,2024-02-20,9.0,228026075.11,9277170.92,5442089.24,242745335.27,4422.48
PRJ0103,Commercial - Retail / Mall,Kolkata,West Bengal,487861.0,5,2021-07-22,8.0,1172434218.54,55644788.89,39170423.62,1267249431.05,2597.56
PRJ0104,Residential - Independent House,Surat,Gujarat,2908.0,1,2025-06-09,12.0,6591574.79,1445772.7,291014.81,8328362.3,2863.95
PRJ0105,Industrial - Light Manufacturing,Surat,Gujarat,12123.0,12,2024-10-13,15.0,53263323.38,2964508.52,686090.24,56913922.14,4694.71
PRJ0106,Industrial - Warehouse,Delhi,Delhi,252217.0,4,2023-10-29,16.0,1699584244.36,61041256.74,35763104.64,1796388605.74,7122.39
PRJ0107,Residential - Independent House,Indore,Madhya Pradesh,3113.0,9,2021-07-12,3.0,12842698.63,1550235.34,407100.45,14800034.42,4754.27
PRJ0108,Industrial - Warehouse,Delhi,Delhi,222911.0,10,2025-08-09,12.0,1603834701.82,18255895.39,17218819.8,1639309417.01,7354.1
PRJ0109,Industrial - Heavy Manufacturing,Delhi,Delhi,239866.0,5,2021-05-16,9.0,1986804274.1,55118659.85,13635308.85,2055558242.8,8569.61
PRJ0110,Industrial - Heavy Manufacturing,Nagpur,Maharashtra,141035.0,4,2023-05-31,25.0,398231545.35,20454940.37,14721442.6,433407928.32,3073.05
PRJ0111,Residential - Apartment Complex,Hyderabad,Telangana,22775.0,4,2023-11-26,16.0,108490798.49,2551167.05,2869874.85,113911840.39,5001.62
PRJ0112,Commercial - Office Building,Bengaluru,Karnataka,138014.0,7,2023-11-22,14.0,927869931.58,35770949.27,10423226.87,974064107.72,7057.72
PRJ0113,Industrial - Light Manufacturing,Pune,Maharashtra,31550.0,6,2025-01-03,8.0,207512462.95,7827218.28,2325028.33,217664709.56,6899.04
PRJ0114,Commercial - Retail / Mall,Lucknow,Uttar Pradesh,340806.0,6,2023-04-06,8.0,1589406462.66,35777807.08,25852593.11,1651036862.85,4844.51
PRJ0115,Commercial - Hospital,Nashik,Maharashtra,264471.0,1,2024-04-12,,1302094511.35,50115812.84,20788636.22,1372998960.41,5191.49
PRJ0116,Industrial - Warehouse,Kolkata,West Bengal,76674.0,1,2023-05-25,13.0,167086712.89,16480604.09,4130173.01,187697489.99,2447.99
PRJ0117,Industrial - Warehouse,Nashik,Maharashtra,280762.0,2,2025-07-22,18.0,1363992345.49,50398505.54,3409977.18,1417800828.21,5049.83
PRJ0118,Residential - Independent House,Indore,Madhya Pradesh,2472.0,3,2023-10-01,3.0,5449444.69,1790304.16,213601.67,7453350.52,3015.11
PRJ0119,Residential - Independent House,Jaipur,Rajasthan,2905.0,3,2023-10-02,8.0,16753816.2,1523722.11,266896.93,18544435.24,6383.63
PRJ0120,Commercial - Retail / Mall,Bengaluru,Karnataka,115922.0,5,2025-01-01,22.0,741973590.63,14793389.31,12632322.3,769399302.24,6637.22
PRJ0121,Commercial - Office Building,Pune,Maharashtra,34757.0,5,2023-02-25,9.0,141441570.6,5608584.23,4356434.22,151406589.05,4356.15
PRJ0122,Commercial - Retail / Mall,Surat,Gujarat,71425.0,5,2021-03-28,21.0,381707118.93,10285250.82,3137361.19,395129730.94,5532.09
PRJ0123,Industrial - Heavy Manufacturing,Delhi,Delhi,54242.0,9,2024-05-05,17.0,305604356.91,10109744.64,6464629.71,322178731.26,5939.65
PRJ0124,Residential - Independent House,Hyderabad,Telangana,2691.0,3,2021-05-12,16.0,18888154.96,1366379.39,242826.29,20497360.64,7617.01
PRJ0125,Commercial - Office Building,Mumbai,Maharashtra,97038.0,5,2021-09-02,11.0,714131000.09,20742097.67,6350814.54,741223912.3,7638.49
PRJ0126,Industrial - Light Manufacturing,Indore,Madhya Pradesh,90423.0,6,2022-07-25,11.0,256350810.05,11114785.95,5696742.78,273162338.78,3020.94
PRJ0127,Industrial - Light Manufacturing,Hyderabad,Telangana,18288.0,7,2024-04-12,31.0,117942175.24,5519702.26,1196722.66,124658600.16,6816.42
PRJ0128,Commercial - Hospital,Nagpur,Maharashtra,205831.0,6,2023-03-25,7.0,513914069.18,38569202.92,21791408.95,574274681.05,2790.03
PRJ0129,Residential - Apartment Complex,Ahmedabad,Gujarat,81150.0,1,2024-04-05,16.0,567469689.53,4776765.87,1241885.85,573488341.25,7067.02
PRJ0130,Industrial - Warehouse,Nashik,Maharashtra,247187.0,3,2022-10-07,15.0,1161205940.94,39076085.94,23029726.07,1223311752.95,4948.93
PRJ0131,Industrial - Heavy Manufacturing,Surat,Gujarat,189198.0,7,2024-04-30,26.0,530490157.54,30340668.47,21089902.67,581920728.68,3075.72
PRJ0132,Residential - Independent House,Coimbatore,Tamil Nadu,1216.0,9,2021-03-14,10.0,6272950.62,1670971.14,163447.91,8107369.67,6667.24
PRJ0133,Residential - Independent House,Ahmedabad,Gujarat,3344.0,8,2023-08-15,8.0,18827841.81,703926.83,347345.54,19879114.18,5944.71
PRJ0134,Commercial - Hospital,Pune,Maharashtra,214547.0,5,2025-01-10,14.0,1101817208.57,34120524.13,22169849.31,1158107582.01,5397.92
PRJ0135,Industrial - Warehouse,Bengaluru,Karnataka,163194.0,2,2025-03-20,10.0,1116995295.16,34188222.04,15246649.15,1166430166.35,7147.51
PRJ0136,Industrial - Light Manufacturing,Delhi,Delhi,98641.0,2,2021-11-19,12.0,722313910.06,21571025.56,10137457.44,754022393.06,7644.11
PRJ0137,Industrial - Heavy Manufacturing,Ahmedabad,Gujarat,267074.0,10,2024-10-20,15.0,1422679099.74,41888380.6,35196507.99,1499763988.33,5615.54
PRJ0138,Commercial - Hotel,Nashik,Maharashtra,148468.0,7,2021-11-02,16.0,770365248.5,23843180.62,16311715.49,810520144.61,5459.22
PRJ0139,Residential - Independent House,Kolkata,West Bengal,1501.0,1,2021-01-17,9.0,8419558.34,992801.33,177895.89,9590255.56,6389.24
PRJ0140,Commercial - Hospital,Surat,Gujarat,82180.0,8,2023-11-13,18.0,397508023.21,15941401.37,7852990.8,421302415.38,5126.58
PRJ0141,Industrial - Light Manufacturing,Kolkata,West Bengal,60533.0,3,2025-06-02,21.0,351223095.69,11310153.46,5172576.61,367705825.76,6074.47
PRJ0142,Industrial - Warehouse,Surat,Gujarat,44190.0,14,2024-09-22,14.0,117612073.71,9690970.74,3237010.25,130540054.7,2954.06
PRJ0143,Residential - Independent House,Jaipur,Rajasthan,2690.0,4,2025-02-27,17.0,9035214.85,1627789.21,273839.7,10936843.76,4065.74
PRJ0144,Residential - Independent House,Ahmedabad,Gujarat,1660.0,8,2022-07-24,5.0,5840470.16,1810988.16,269277.9,7920736.22,4771.53
PRJ0145,Industrial - Warehouse,Surat,Gujarat,144827.0,8,2024-03-04,5.0,553065765.69,19319792.22,15877771.56,588263329.47,4061.83
PRJ0146,Commercial - Retail / Mall,Indore,Madhya Pradesh,410202.0,8,2025-10-17,20.0,1208776406.21,67711478.59,23858439.09,1300346323.89,3170.01
PRJ0147,Residential - Apartment Complex,Pune,Maharashtra,116421.0,2,2025-05-26,11.0,361504052.63,23375716.71,14173833.67,399053603.01,3427.68
PRJ0148,Residential - Independent House,Surat,Gujarat,3482.0,4,2021-03-25,21.0,16477042.85,1490217.32,311437.42,18278697.59,5249.48
PRJ0149,Commercial - Hospital,Hyderabad,Telangana,232294.0,10,2025-12-13,15.0,816993314.46,53146435.03,15101811.83,885241561.32,3810.87
PRJ0150,Commercial - Hospital,Mumbai,Maharashtra,269709.0,1,2021-09-14,18.0,2044203845.18,43094843.4,2863271.42,2090161960.0,7749.69
PRJ0151,Residential - Independent House,Surat,Gujarat,2345.0,3,2024-05-18,17.0,9203678.56,1906834.14,266375.71,11376888.41,4851.55
PRJ0152,Commercial - Hospital,Mumbai,Maharashtra,100325.0,8,2024-09-04,20.0,532742800.78,19289879.41,14103297.73,566135977.92,5643.02
PRJ0153,Residential - Apartment Complex,Coimbatore,Tamil Nadu,62174.0,2,2021-03-03,14.0,357553851.43,12382039.71,7651645.81,377587536.95,6073.08
PRJ0154,Residential - Independent House,Ahmedabad,Gujarat,939.0,7,2023-01-27,10.0,3126217.42,1563322.72,202045.65,4891585.79,5209.36
PRJ0155,Industrial - Light Manufacturing,Ahmedabad,Gujarat,53834.0,6,2024-07-28,3.0,310119171.07,11141376.4,5406076.64,326666624.11,6068.04
PRJ0156,Residential - Independent House,Lucknow,Uttar Pradesh,2542.0,1,2022-08-15,7.0,13176608.09,1518698.61,96865.45,14792172.15,5819.11
PRJ0157,Commercial - Hospital,Mumbai,Maharashtra,177251.0,6,2024-08-19,7.0,800342059.41,35054269.58,13935146.16,849331475.15,4791.69
PRJ0158,Commercial - Hotel,Nashik,Maharashtra,125340.0,5,2023-08-31,7.0,463039431.85,22019221.92,14019407.86,499078061.63,3981.79
PRJ0159,Residential - Independent House,Chennai,Tamil Nadu,1628.0,6,2021-03-19,18.0,8038371.41,840075.56,197900.78,9076347.75,5575.15
PRJ0160,Commercial - Office Building,Jaipur,Rajasthan,100573.0,4,2021-11-19,17.0,258629074.47,19529641.26,5240315.39,283399031.12,2817.84
PRJ0161,Residential - Apartment Complex,Surat,Gujarat,111347.0,5,2022-11-18,20.0,489553283.42,15532277.09,3521787.18,508607347.69,4567.77
PRJ0162,Industrial - Light Manufacturing,Hyderabad,Telangana,24094.0,1,2021-05-07,12.0,119547191.73,3143812.92,3093056.95,125784061.6,5220.56
PRJ0163,Commercial - Office Building,Jaipur,Rajasthan,145824.0,4,2022-11-03,19.0,511126202.55,25121798.42,10261951.31,546509952.28,3747.74
PRJ0164,Commercial - Office Building,Chennai,Tamil Nadu,149070.0,5,2022-11-07,11.0,726509147.36,27628522.55,17166307.92,771303977.83,5174.11
PRJ0165,Industrial - Warehouse,Delhi,Delhi,295459.0,16,2024-04-10,11.0,1680481725.23,47231106.6,13245847.33,1740958679.16,5892.39
PRJ0166,Commercial - Hotel,Lucknow,Uttar Pradesh,202520.0,1,2024-01-23,18.0,805970733.38,23651130.07,13348726.18,842970589.63,4162.41
PRJ0167,Industrial - Warehouse,Hyderabad,Telangana,145564.0,1,2022-09-10,11.0,910083652.98,28384861.93,18957002.9,957425517.81,6577.35
PRJ0168,Residential - Independent House,Hyderabad,Telangana,1906.0,5,2023-11-23,18.0,8537741.71,923358.01,97868.97,9558968.69,5015.2
PRJ0169,Residential - Apartment Complex,Nagpur,Maharashtra,115328.0,6,2023-06-07,7.0,781934510.05,19687818.23,993061.36,802615389.64,6959.41
PRJ0170,Residential - Apartment Complex,Surat,Gujarat,36234.0,1,2024-02-27,18.0,117559182.45,5162129.63,336281.03,123057593.11,3396.19
PRJ0171,Residential - Apartment Complex,Chennai,Tamil Nadu,52258.0,1,2025-12-17,13.0,352411968.05,6906084.92,3378920.46,362696973.43,6940.51
PRJ0172,Industrial - Warehouse,Nagpur,Maharashtra,226370.0,1,2023-12-08,10.0,844315710.06,23948378.26,25678969.34,893943057.66,3949.04
PRJ0173,Industrial - Light Manufacturing,Mumbai,Maharashtra,61910.0,5,2023-02-14,20.0,360847440.65,11252233.76,8410973.72,380510648.13,6146.19
PRJ0174,Industrial - Heavy Manufacturing,Pune,Maharashtra,168064.0,3,2021-05-07,15.0,806018868.0,26799619.58,23051953.37,855870440.95,5092.53
PRJ0175,Commercial - Hospital,Pune,Maharashtra,256712.0,1,2024-06-20,22.0,1458288829.7,45995637.77,15603006.89,1519887474.36,5920.59
PRJ0176,Commercial - Hotel,Mumbai,Maharashtra,187839.0,10,2021-01-23,11.0,1139534956.21,29526307.43,25123869.31,1194185132.95,6357.49
