item_id,project_id,category,sub_category,item_name,unit,quantity,rate_per_unit_inr,amount_inr
ITM000021,PRJ0001,Electrical,Cables,XLPE armoured cable 3.5C x 50 sqmm,meter,2290.73,750.07,1718207.85
ITM000022,PRJ0001,Electrical,Wiring,PVC insulated copper wire 4 sqmm,meter,40799.42,45.92,1873509.37
ITM000023,PRJ0001,Electrical,Lighting,LED panel light 18W,nos,683.0,491.66,335803.78
ITM000024,PRJ0001,Electrical,Cable Trays,GI perforated cable tray,meter,3467.06,410.71,1423956.21
ITM000025,PRJ0001,Electrical,Lighting,Emergency exit light,nos,67.0,1228.96,82340.32
ITM000026,PRJ0001,Electrical,Earthing,Earthing pit with GI strip,nos,38.0,3836.79,145798.02
ITM000027,PRJ0001,Plumbing,Water Tank,Overhead RCC/PVC water tank,nos,4.0,42438.61,169754.44
ITM000028,PRJ0001,Plumbing,Sanitary Fittings,Wash basin with fittings,nos,114.0,5913.85,674178.9
ITM000029,PRJ0001,Plumbing,Drainage,PVC SWR pipe 110mm with fittings,meter,15378.11,246.3,3787628.49
ITM000030,PRJ0002,Civil,Concrete,RCC M25 for slabs/beams,cum,2527.13,9499.93,24007558.1
ITM000031,PRJ0002,Civil,Masonry,AAC block masonry (200mm),sqm,19308.84,694.24,13404969.08
ITM000032,PRJ0002,Civil,Plastering,External cement plaster 20mm,sqm,55029.33,214.15,11784531.02
ITM000033,PRJ0002,Civil,Concrete,RCC M25 for footings/columns,cum,2375.64,9160.24,21761432.55
ITM000034,PRJ0002,Civil,Concrete,PCC (Plain Cement Concrete) 1:4:8,cum,726.42,4840.31,3516097.99
ITM000035,PRJ0002,Civil,Flooring,Vitrified tile flooring,sqm,51803.38,1057.4,54776894.01
ITM000036,PRJ0002,Civil,Masonry,Brickwork in CM 1:6 (230mm),sqm,20891.05,725.1,15148100.36
ITM000037,PRJ0002,Civil,Reinforcement,TMT steel bars Fe 500,kg,239163.73,75.15,17973154.31
ITM000038,PRJ0002,Civil,Roofing,RCC roof slab with waterproofing,sqm,59574.96,1265.46,75389728.88
ITM000039,PRJ0002,Civil,Earthwork,Excavation for foundation,cum,1142.33,243.05,277643.31
ITM000040,PRJ0002,Civil,Flooring,Granite flooring,sqm,14402.69,2353.96,33903356.15
ITM000041,PRJ0002,Civil,Painting,Interior emulsion paint (2 coats),sqm,119559.19,98.78,11810056.79
ITM000042,PRJ0002,Civil,Painting,Exterior weatherproof paint,sqm,58969.34,114.69,6763193.6
ITM000043,PRJ0002,Civil,Earthwork,Backfilling with excavated earth,cum,656.65,171.54,112641.74
ITM000044,PRJ0002,Civil,Doors and Windows,Aluminium windows with glazing,sqm,4039.26,4044.46,16336625.5
ITM000045,PRJ0002,Civil,Plastering,Internal cement plaster 12mm,sqm,93600.25,204.51,19142187.13
ITM000046,PRJ0002,Civil,Structural Steel,Structural steel fabrication & erection,kg,209358.66,116.19,24325382.71
ITM000047,PRJ0002,Electrical,DG Set,Diesel generator set (backup),nos,1.0,581863.17,581863.17
ITM000048,PRJ0002,Electrical,Cable Trays,GI perforated cable tray,meter,2837.56,521.5,1479787.54
ITM000049,PRJ0002,Electrical,Wiring,PVC insulated copper wire 4 sqmm,meter,16853.55,48.61,819251.07
ITM000050,PRJ0002,Electrical,Conduiting,PVC conduit pipe 25mm with accessories,meter,42922.03,62.19,2669321.05
ITM000051,PRJ0002,Electrical,Switchgear,MCB distribution board (8-way),nos,49.0,2612.01,127988.49
ITM000052,PRJ0002,Electrical,Cables,XLPE armoured cable 3.5C x 95 sqmm,meter,746.32,,
ITM000053,PRJ0002,Electrical,Wiring,PVC insulated copper wire 2.5 sqmm,meter,43452.3,35.62,1547770.93
ITM000054,PRJ0002,Electrical,Switchgear,Main LT panel (custom),nos,1.0,123798.4,123798.4
ITM000055,PRJ0002,Electrical,Lighting,Emergency exit light,nos,41.0,1132.43,46429.63
ITM000056,PRJ0002,Plumbing,Pumps,Centrifugal water pump set,nos,3.0,35041.59,105124.77
ITM000057,PRJ0002,Plumbing,Drainage,PVC SWR pipe 110mm with fittings,meter,6613.41,214.78,1420428.2
ITM000058,PRJ0002,Plumbing,Sanitary Fittings,Wash basin with fittings,nos,59.0,4286.46,252901.14
ITM000059,PRJ0002,Plumbing,Sanitary Fittings,Water closet (WC) with flush tank,nos,50.0,10136.64,506832.0
ITM000060,PRJ0003,Civil,Concrete,PCC (Plain Cement Concrete) 1:4:8,cum,26.48,4775.46,126454.18
ITM000061,PRJ0003,Civil,Flooring,Vitrified tile flooring,sqm,1677.68,1275.21,2139394.31
ITM000062,PRJ0003,Civil,Plastering,External cement plaster 20mm,sqm,2059.92,235.52,485152.36
ITM000063,PRJ0003,Civil,Waterproofing,Terrace waterproofing (APP membrane),sqm,179.45,350.38,62875.69
ITM000064,PRJ0003,Civil,Concrete,RCC M25 for slabs/beams,cum,70.09,8872.18,621851.1
ITM000065,PRJ0003,Civil,Earthwork,Backfilling with excavated earth,cum,22.29,168.79,3762.33
ITM000066,PRJ0003,Civil,Painting,Exterior weatherproof paint,sqm,1686.23,109.6,184810.81
ITM000067,PRJ0003,Civil,Masonry,AAC block masonry (200mm),sqm,822.49,617.57,507945.15
ITM000068,PRJ0003,Civil,Doors and Windows,Aluminium windows with glazing,sqm,136.31,,
ITM000069,PRJ0003,Civil,Painting,Interior emulsion paint (2 coats),sqm,4842.65,93.52,452884.63
ITM000070,PRJ0003,Civil,Roofing,RCC roof slab with waterproofing,sqm,1545.5,1607.86,2484947.63
ITM000071,PRJ0003,Civil,Earthwork,Excavation for foundation,cum,43.85,194.05,8509.09
ITM000072,PRJ0003,Electrical,Switchgear,MCB distribution board (8-way),nos,2.0,2375.84,4751.68
ITM000073,PRJ0003,Electrical,Lighting,Emergency exit light,nos,2.0,1058.52,2117.04
ITM000074,PRJ0003,Electrical,Fire Safety Electrical,Fire alarm panel & detectors,nos,1.0,36259.33,36259.33
ITM000075,PRJ0003,Electrical,DG Set,Diesel generator set (backup),nos,1.0,734564.58,734564.58
ITM000076,PRJ0003,Electrical,Sockets and Switches,Modular switch/socket points,nos,25.0,484.88,12122.0
ITM000077,PRJ0003,Electrical,Cable Trays,GI perforated cable tray,meter,94.05,444.03,41761.02
ITM000078,PRJ0003,Electrical,Wiring,PVC insulated copper wire 2.5 sqmm,meter,2272.39,32.73,74375.32
ITM000079,PRJ0003,Electrical,Switchgear,Main LT panel (custom),nos,1.0,145823.29,145823.29
ITM000080,PRJ0003,Electrical,Cables,XLPE armoured cable 3.5C x 50 sqmm,meter,47.89,659.7,31593.03
ITM000081,PRJ0003,Electrical,Conduiting,PVC conduit pipe 25mm with accessories,meter,832.47,46.54,38743.15
ITM000082,PRJ0003,Electrical,Lighting,LED panel light 18W,nos,24.0,473.97,11375.28
ITM000083,PRJ0003,Electrical,Transformer,Distribution transformer (as per load calc),nos,1.0,608444.8,608444.8
ITM000084,PRJ0003,Electrical,Wiring,PVC insulated copper wire 4 sqmm,meter,961.63,44.46,42754.07
ITM000085,PRJ0003,Electrical,Cables,XLPE armoured cable 3.5C x 95 sqmm,meter,17.96,1168.1,20979.08
ITM000086,PRJ0003,Plumbing,Sanitary Fittings,Water closet (WC) with flush tank,nos,2.0,8055.6,16111.2
ITM000087,PRJ0003,Plumbing,Water Tank,Overhead RCC/PVC water tank,nos,1.0,70942.85,70942.85
ITM000088,PRJ0003,Plumbing,Pumps,Centrifugal water pump set,nos,1.0,28001.37,28001.37
ITM000089,PRJ0003,Plumbing,Water Supply,CPVC pipe 25mm with fittings,meter,277.31,180.24,49982.35
ITM000090,PRJ0003,Plumbing,Sanitary Fittings,Wash basin with fittings,nos,3.0,5292.5,15877.5
ITM000091,PRJ0004,Civil,Masonry,AAC block masonry (200mm),sqm,118164.31,647.54,76516117.3
ITM000092,PRJ0004,Civil,Flooring,Vitrified tile flooring,sqm,228042.18,855.0,194976063.9
ITM000093,PRJ0004,Civil,Doors and Windows,Aluminium windows with glazing,sqm,17672.86,5173.34,91427713.55
ITM000094,PRJ0004,Civil,Earthwork,Backfilling with excavated earth,cum,3672.31,145.19,533182.69
ITM000095,PRJ0004,Civil,Plastering,External cement plaster 20mm,sqm,261992.65,252.33,66108605.37
ITM000096,PRJ0004,Civil,Concrete,RCC M25 for footings/columns,cum,7335.28,9038.54,66300221.69
ITM000097,PRJ0004,Civil,Painting,Interior emulsion paint (2 coats),sqm,758136.36,106.2,80514081.43
ITM000098,PRJ0004,Civil,Plastering,Internal cement plaster 12mm,sqm,652963.46,232.58,151866241.53
ITM000099,PRJ0004,Civil,Earthwork,Excavation for foundation,cum,6771.25,175.38,1187541.82
ITM000100,PRJ0004,Civil,Waterproofing,Terrace waterproofing (APP membrane),sqm,25189.59,359.97,9067496.71
ITM000101,PRJ0004,Electrical,Lighting,LED street/flood light 50W,nos,330.0,1849.22,610242.6
ITM000102,PRJ0004,Electrical,DG Set,Diesel generator set (backup),nos,1.0,440777.63,440777.63
ITM000103,PRJ0004,Electrical,Cables,XLPE armoured cable 3.5C x 95 sqmm,meter,2048.04,1344.84,2754286.11
ITM000104,PRJ0004,Electrical,Cables,XLPE armoured cable 3.5C x 50 sqmm,meter,3582.02,714.66,2559926.41
ITM000105,PRJ0004,Electrical,Switchgear,MCCB panel 200A,nos,47.0,19616.49,921975.03
ITM000106,PRJ0004,Electrical,Fire Safety Electrical,Fire alarm panel & detectors,nos,37.0,34563.71,1278857.27
ITM000107,PRJ0004,Electrical,Lighting,LED panel light 18W,nos,3361.0,514.55,1729402.55
ITM000108,PRJ0004,Electrical,Wiring,PVC insulated copper wire 2.5 sqmm,meter,223532.51,31.27,6989861.59
ITM000109,PRJ0004,Electrical,Switchgear,MCB distribution board (8-way),nos,370.0,1945.03,719661.1
ITM000110,PRJ0004,Electrical,Switchgear,Main LT panel (custom),nos,5.0,137896.27,689481.35
ITM000111,PRJ0004,Plumbing,Pumps,Centrifugal water pump set,nos,23.0,33698.72,775070.56
ITM000112,PRJ0004,Plumbing,Water Supply,CPVC pipe 25mm with fittings,meter,89047.37,216.66,19293003.18
ITM000113,PRJ0004,Plumbing,Drainage,PVC SWR pipe 110mm with fittings,meter,42652.16,248.17,10584986.55
ITM000114,PRJ0004,Plumbing,Sanitary Fittings,Water closet (WC) with flush tank,nos,265.0,9257.93,2453351.45
ITM000115,PRJ0004,Plumbing,Water Tank,Overhead RCC/PVC water tank,nos,6.0,,
ITM000116,PRJ0005,Civil,Doors and Windows,Aluminium windows with glazing,sqm,14142.71,5062.17,71592802.28
ITM000117,PRJ0005,Civil,Flooring,Vitrified tile flooring,sqm,149818.55,1004.14,150438798.8
ITM000118,PRJ0005,Civil,Earthwork,Excavation for foundation,cum,3172.63,195.84,621327.86
ITM000119,PRJ0005,Civil,Plastering,Internal cement plaster 12mm,sqm,351362.75,217.48,76414370.87
ITM000120,PRJ0005,Civil,Doors and Windows,Flush doors with frame,nos,204.0,13306.18,2714460.72
ITM000121,PRJ0005,Civil,Concrete,RCC M25 for footings/columns,cum,3286.49,7519.98,24714339.07
ITM000122,PRJ0005,Civil,Structural Steel,Structural steel fabrication & erection,kg,278979.95,116.49,32498374.38
ITM000123,PRJ0005,Civil,Earthwork,Backfilling with excavated earth,cum,2234.16,126.01,281526.5
ITM000124,PRJ0005,Civil,Painting,Exterior weatherproof paint,sqm,169950.1,109.05,18533058.41
ITM000125,PRJ0005,Civil,Masonry,Brickwork in CM 1:6 (230mm),sqm,98591.45,642.17,63312471.45
ITM000126,PRJ0005,Civil,Flooring,Granite flooring,sqm,34841.36,2248.99,78357870.23
ITM000127,PRJ0005,Civil,Plastering,External cement plaster 20mm,sqm,246354.84,225.28,55498818.36
ITM000128,PRJ0005,Civil,Reinforcement,TMT steel bars Fe 500,kg,926966.38,67.4,62477534.01
ITM000129,PRJ0005,Civil,Concrete,PCC (Plain Cement Concrete) 1:4:8,cum,1298.62,4258.81,5530575.84
ITM000130,PRJ0005,Civil,Masonry,AAC block masonry (200mm),sqm,61625.96,658.56,40584392.22
ITM000131,PRJ0005,Electrical,Lighting,LED street/flood light 50W,nos,184.0,2493.14,458737.76
ITM000132,PRJ0005,Electrical,Earthing,Earthing pit with GI strip,nos,87.0,4298.06,373931.22
ITM000133,PRJ0005,Electrical,Switchgear,MCCB panel 200A,nos,15.0,17580.17,263702.55
ITM000134,PRJ0005,Electrical,Switchgear,MCB distribution board (8-way),nos,179.0,2046.7,366359.3
ITM000135,PRJ0005,Electrical,Wiring,PVC insulated copper wire 2.5 sqmm,meter,200156.56,30.01,6006698.37
ITM000136,PRJ0005,Electrical,DG Set,Diesel generator set (backup),nos,1.0,661206.8,661206.8
ITM000137,PRJ0005,Electrical,Cable Trays,GI perforated cable tray,meter,10251.97,440.91,4520196.09
ITM000138,PRJ0005,Electrical,Conduiting,PVC conduit pipe 25mm with accessories,meter,91270.75,44.71,4080715.23
ITM000139,PRJ0005,Electrical,Transformer,Distribution transformer (as per load calc),nos,1.0,441098.13,441098.13
ITM000140,PRJ0005,Electrical,Switchgear,Main LT panel (custom),nos,3.0,149237.83,447713.49
ITM000141,PRJ0005,Plumbing,Water Supply,CPVC pipe 25mm with fittings,meter,44537.18,249.27,11101782.86
ITM000142,PRJ0005,Plumbing,Drainage,PVC SWR pipe 110mm with fittings,meter,25420.8,237.1,6027271.68
ITM000143,PRJ0005,Plumbing,Pumps,Centrifugal water pump set,nos,11.0,,
ITM000144,PRJ0005,Plumbing,Water Tank,Overhead RCC/PVC water tank,nos,8.0,58768.72,470149.76
ITM000145,PRJ0005,Plumbing,Sanitary Fittings,Water closet (WC) with flush tank,nos,120.0,7295.93,875511.6
ITM000146,PRJ0006,Civil,Plastering,External cement plaster 20mm,sqm,20301.68,328.64,6671944.12
ITM000147,PRJ0006,Civil,Masonry,Brickwork in CM 1:6 (230mm),sqm,11292.68,818.87,9247236.87
ITM000148,PRJ0006,Civil,Earthwork,Excavation for foundation,cum,573.95,210.46,120793.52
ITM000149,PRJ0006,Civil,Painting,Exterior weatherproof paint,sqm,28847.56,172.26,4969280.69
ITM000150,PRJ0006,Civil,Flooring,Granite flooring,sqm,5859.63,2837.1,16624356.27
ITM000151,PRJ0006,Civil,Doors and Windows,Flush doors with frame,nos,38.0,13407.1,509469.8
ITM000152,PRJ0006,Civil,Painting,Interior emulsion paint (2 coats),sqm,59122.09,139.96,8274727.72
ITM000153,PRJ0006,Civil,Earthwork,Backfilling with excavated earth,cum,392.68,212.97,83629.06
ITM000154,PRJ0006,Civil,Concrete,RCC M25 for footings/columns,cum,616.62,9556.43,5892685.87
ITM000155,PRJ0006,Civil,Masonry,AAC block masonry (200mm),sqm,8841.93,789.51,6980792.15
ITM000156,PRJ0006,Civil,Structural Steel,Structural steel fabrication & erection,kg,69075.76,118.88,8211726.35
ITM000157,PRJ0006,Civil,Roofing,RCC roof slab with waterproofing,sqm,24917.97,1713.55,42698187.49
ITM000158,PRJ0006,Electrical,Lighting,Emergency exit light,nos,22.0,1560.64,34334.08
ITM000159,PRJ0006,Electrical,Switchgear,Main LT panel (custom),nos,1.0,144781.57,144781.57
ITM000160,PRJ0006,Electrical,Sockets and Switches,Modular switch/socket points,nos,492.0,589.47,290019.24
ITM000161,PRJ0006,Electrical,Switchgear,MCB distribution board (8-way),nos,18.0,,
ITM000162,PRJ0006,Electrical,Wiring,PVC insulated copper wire 4 sqmm,meter,9972.66,52.8,526556.45
ITM000163,PRJ0006,Electrical,Transformer,Distribution transformer (as per load calc),nos,1.0,606935.98,606935.98
ITM000164,PRJ0006,Electrical,Switchgear,MCCB panel 200A,nos,3.0,28215.31,84645.93
ITM000165,PRJ0006,Electrical,Lighting,LED panel light 18W,nos,320.0,549.86,175955.2
ITM000166,PRJ0006,Electrical,DG Set,Diesel generator set (backup),nos,1.0,584924.41,584924.41
ITM000167,PRJ0006,Electrical,Earthing,Earthing pit with GI strip,nos,6.0,4552.99,27317.94
ITM000168,PRJ0006,Electrical,Wiring,PVC insulated copper wire 2.5 sqmm,meter,31198.8,40.83,1273847.0
ITM000169,PRJ0006,Electrical,Cables,XLPE armoured cable 3.5C x 95 sqmm,meter,160.94,1297.62,208838.96
ITM000170,PRJ0006,Electrical,Lighting,LED street/flood light 50W,nos,23.0,2880.03,66240.69
ITM000171,PRJ0006,Electrical,Conduiting,PVC conduit pipe 25mm with accessories,meter,21826.11,57.86,1262858.72
ITM000172,PRJ0006,Electrical,Cables,XLPE armoured cable 3.5C x 50 sqmm,meter,364.13,795.75,289756.45
ITM000173,PRJ0006,Plumbing,Drainage,PVC SWR pipe 110mm with fittings,meter,5385.34,273.46,1472675.08
ITM000174,PRJ0006,Plumbing,Water Supply,CPVC pipe 25mm with fittings,meter,5936.92,250.28,1485892.34
ITM000175,PRJ0006,Plumbing,Sanitary Fittings,Wash basin with fittings,nos,27.0,6717.79,181380.33
ITM000176,PRJ0007,Civil,Concrete,RCC M25 for footings/columns,cum,5991.21,7759.69,46489932.32
ITM000177,PRJ0007,Civil,Doors and Windows,Flush doors with frame,nos,163.0,11657.6,1900188.8
ITM000178,PRJ0007,Civil,Plastering,External cement plaster 20mm,sqm,158881.36,290.65,46178867.28
ITM000179,PRJ0007,Civil,Masonry,AAC block masonry (200mm),sqm,54443.95,577.05,31416881.35
ITM000180,PRJ0007,Civil,Reinforcement,TMT steel bars Fe 500,kg,603619.4,71.1,42917339.34
ITM000181,PRJ0007,Civil,Earthwork,Excavation for foundation,cum,4529.96,265.61,1203202.68
ITM000182,PRJ0007,Civil,Waterproofing,Terrace waterproofing (APP membrane),sqm,19137.78,424.64,8126666.9
ITM000183,PRJ0007,Civil,Plastering,Internal cement plaster 12mm,sqm,318294.3,207.23,65960127.79
ITM000184,PRJ0007,Civil,Painting,Interior emulsion paint (2 coats),sqm,357881.85,107.65,38525981.15
ITM000185,PRJ0007,Civil,Roofing,RCC roof slab with waterproofing,sqm,141647.43,1275.43,180661381.64
ITM000186,PRJ0007,Civil,Earthwork,Backfilling with excavated earth,cum,2101.52,170.09,357447.54
ITM000187,PRJ0007,Civil,Masonry,Brickwork in CM 1:6 (230mm),sqm,68173.87,782.02,53313329.82
ITM000188,PRJ0007,Civil,Doors and Windows,Aluminium windows with glazing,sqm,11690.3,5360.7,62668191.21
ITM000189,PRJ0007,Civil,Painting,Exterior weatherproof paint,sqm,166576.27,131.89,21969744.25
ITM000190,PRJ0007,Civil,Concrete,PCC (Plain Cement Concrete) 1:4:8,cum,2143.51,4227.18,9061002.6
ITM000191,PRJ0007,Electrical,Cables,XLPE armoured cable 3.5C x 50 sqmm,meter,4549.77,843.68,3838549.95
ITM000192,PRJ0007,Electrical,Sockets and Switches,Modular switch/socket points,nos,2156.0,410.32,884649.92
ITM000193,PRJ0007,Electrical,Conduiting,PVC conduit pipe 25mm with accessories,meter,112018.6,56.09,6283123.27
ITM000194,PRJ0007,Electrical,Lighting,LED panel light 18W,nos,2359.0,692.74,1634173.66
ITM000195,PRJ0007,Electrical,Wiring,PVC insulated copper wire 2.5 sqmm,meter,153629.6,32.35,4969917.56
ITM000196,PRJ0007,Electrical,Switchgear,Main LT panel (custom),nos,1.0,154199.09,154199.09
ITM000197,PRJ0007,Electrical,Transformer,Distribution transformer (as per load calc),nos,1.0,482593.92,482593.92
ITM000198,PRJ0007,Electrical,Fire Safety Electrical,Fire alarm panel & detectors,nos,15.0,34452.03,516780.45
ITM000199,PRJ0007,Electrical,Earthing,Earthing pit with GI strip,nos,45.0,4609.85,207443.25
ITM000200,PRJ0007,Electrical,Lighting,Emergency exit light,nos,84.0,1446.82,121532.88
ITM000201,PRJ0007,Electrical,Cable Trays,GI perforated cable tray,meter,6209.74,459.25,2851823.09
ITM000202,PRJ0007,Electrical,Cables,XLPE armoured cable 3.5C x 95 sqmm,meter,986.53,1354.07,1335830.68
ITM000203,PRJ0007,Electrical,Switchgear,MCCB panel 200A,nos,15.0,20346.43,305196.45
ITM000204,PRJ0007,Electrical,Lighting,LED street/flood light 50W,nos,235.0,2666.17,626549.95
ITM000205,PRJ0007,Electrical,DG Set,Diesel generator set (backup),nos,1.0,538977.74,538977.74
ITM000206,PRJ0007,Plumbing,Drainage,PVC SWR pipe 110mm with fittings,meter,24689.31,299.94,7405311.64
ITM000207,PRJ0007,Plumbing,Sanitary Fittings,Water closet (WC) with flush tank,nos,157.0,9630.09,1511924.13
ITM000208,PRJ0007,Plumbing,Sanitary Fittings,Wash basin with fittings,nos,177.0,4063.77,719287.29
ITM000209,PRJ0007,Plumbing,Pumps,Centrifugal water pump set,nos,9.0,18705.6,168350.4
ITM000210,PRJ0008,Civil,Doors and Windows,Aluminium windows with glazing,sqm,13785.33,4835.96,66665304.47
ITM000211,PRJ0008,Civil,Concrete,RCC M25 for footings/columns,cum,4417.39,9487.38,41909457.54
ITM000212,PRJ0008,Civil,Earthwork,Excavation for foundation,cum,3620.27,246.15,891129.46
ITM000213,PRJ0008,Civil,Earthwork,Backfilling with excavated earth,cum,1540.03,206.28,317677.39
ITM000214,PRJ0008,Civil,Concrete,RCC M25 for slabs/beams,cum,4826.67,10599.24,51159033.73
ITM000215,PRJ0008,Civil,Painting,Interior emulsion paint (2 coats),sqm,294096.48,110.31,32441782.71
ITM000216,PRJ0008,Civil,Concrete,PCC (Plain Cement Concrete) 1:4:8,cum,1006.27,5450.06,5484231.88
ITM000217,PRJ0008,Civil,Plastering,Internal cement plaster 12mm,sqm,236588.28,238.87,56513842.44
ITM000218,PRJ0008,Civil,Flooring,Vitrified tile flooring,sqm,108070.44,1371.76,148246706.77
ITM000219,PRJ0008,Civil,Masonry,AAC block masonry (200mm),sqm,50052.9,,
ITM000220,PRJ0008,Civil,Roofing,RCC roof slab with waterproofing,sqm,123091.64,1690.91,208136884.99
ITM000221,PRJ0008,Civil,Painting,Exterior weatherproof paint,sqm,140441.43,138.52,19453946.88
ITM000222,PRJ0008,Civil,Waterproofing,Terrace waterproofing (APP membrane),sqm,10423.95,365.62,3811204.6
ITM000223,PRJ0008,Civil,Flooring,Granite flooring,sqm,23460.27,2035.93,47763467.5
ITM000224,PRJ0008,Civil,Structural Steel,Structural steel fabrication & erection,kg,419850.09,106.97,44911364.13
ITM000225,PRJ0008,Civil,Plastering,External cement plaster 20mm,sqm,121985.12,280.79,34252201.84
ITM000226,PRJ0008,Civil,Reinforcement,TMT steel bars Fe 500,kg,508389.51,70.69,35938054.46
ITM000227,PRJ0008,Civil,Masonry,Brickwork in CM 1:6 (230mm),sqm,68521.37,847.58,58077342.78
ITM000228,PRJ0008,Civil,Doors and Windows,Flush doors with frame,nos,151.0,10476.3,1581921.3
ITM000229,PRJ0008,Electrical,Cable Trays,GI perforated cable tray,meter,6129.45,473.7,2903520.46
ITM000230,PRJ0008,Electrical,Transformer,Distribution transformer (as per load calc),nos,1.0,955005.89,955005.89
ITM000231,PRJ0008,Electrical,Conduiting,PVC conduit pipe 25mm with accessories,meter,73663.37,62.41,4597330.92
ITM000232,PRJ0008,Electrical,Earthing,Earthing pit with GI strip,nos,49.0,3850.48,188673.52
ITM000233,PRJ0008,Electrical,Lighting,LED panel light 18W,nos,1205.0,613.42,739171.1
ITM000234,PRJ0008,Electrical,Switchgear,Main LT panel (custom),nos,2.0,135678.37,271356.74
ITM000235,PRJ0008,Electrical,Lighting,Emergency exit light,nos,93.0,1309.53,121786.29
ITM000236,PRJ0008,Electrical,Wiring,PVC insulated copper wire 2.5 sqmm,meter,92310.95,39.17,3615819.91
ITM000237,PRJ0008,Electrical,Cables,XLPE armoured cable 3.5C x 95 sqmm,meter,1779.4,1598.49,2844353.11
ITM000238,PRJ0008,Electrical,Lighting,LED street/flood light 50W,nos,200.0,2610.48,522096.0
ITM000239,PRJ0008,Electrical,Wiring,PVC insulated copper wire 4 sqmm,meter,57899.76,58.37,3379608.99
ITM000240,PRJ0008,Plumbing,Sanitary Fittings,Water closet (WC) with flush tank,nos,98.0,8461.75,829251.5
ITM000241,PRJ0008,Plumbing,Water Supply,CPVC pipe 25mm with fittings,meter,31947.84,197.84,6320560.67
ITM000242,PRJ0008,Plumbing,Sanitary Fittings,Wash basin with fittings,nos,105.0,4490.77,471530.85
ITM000243,PRJ0009,Civil,Doors and Windows,Flush doors with frame,nos,77.0,10412.7,801777.9
ITM000244,PRJ0009,Civil,Earthwork,Excavation for foundation,cum,2641.57,259.74,686121.39
ITM000245,PRJ0009,Civil,Plastering,External cement plaster 20mm,sqm,115668.79,300.23,34727240.82
ITM000246,PRJ0009,Civil,Painting,Exterior weatherproof paint,sqm,131896.18,198.26,26149736.65
ITM000247,PRJ0009,Civil,Masonry,AAC block masonry (200mm),sqm,46075.39,741.28,34154765.1
ITM000248,PRJ0009,Civil,Reinforcement,TMT steel bars Fe 500,kg,452475.72,86.1,38958159.49
ITM000249,PRJ0009,Civil,Roofing,RCC roof slab with waterproofing,sqm,90449.96,1454.3,131541376.83
ITM000250,PRJ0009,Civil,Waterproofing,Terrace waterproofing (APP membrane),sqm,13295.81,509.21,6770359.41
ITM000251,PRJ0009,Civil,Structural Steel,Structural steel fabrication & erection,kg,414854.18,124.82,51782098.75
ITM000252,PRJ0009,Civil,Painting,Interior emulsion paint (2 coats),sqm,242593.93,107.47,26071569.66
ITM000253,PRJ0009,Civil,Masonry,Brickwork in CM 1:6 (230mm),sqm,43169.02,887.92,38330636.24
ITM000254,PRJ0009,Electrical,Lighting,LED street/flood light 50W,nos,133.0,2141.51,284820.83
ITM000255,PRJ0009,Electrical,Transformer,Distribution transformer (as per load calc),nos,1.0,859833.15,859833.15
