project_id,project_type,state,project_size_sqft,project_duration_months,month_of_construction,contractor_experience_yrs,num_workers,workforce_skill_level,supervision_quality,material_type,blueprint_quantity,actual_quantity_used,wastage_pct,wastage_category,cost_overrun_inr,logistics_score,monsoon_intensity,monsoon_sensitivity
PRJ-0015,School/College,Karnataka,2505,20,5,5,243,Unskilled,Poor,Vitrified Tiles,2691.0,3092.09,14.9,Medium,260709.0,0.72,0.15,0.2
PRJ-0016,Hospital,Uttar Pradesh,10627,10,9,15,47,Skilled,Good,Fly Ash Bricks,425.0,467.33,9.96,Medium,339.0,0.58,0.6,0.6
PRJ-0017,Metro Rail,Rajasthan,11896,53,3,12,368,Unskilled,Average,TMT Steel,44.7,47.6,6.48,Medium,179800.0,0.65,0.0,0.3
PRJ-0018,Metro Rail,Bihar,13284,18,9,28,315,Unskilled,Good,AAC Blocks,269.0,298.83,11.09,Medium,1641.0,0.45,0.6,0.2
PRJ-0019,Hospital,Jharkhand,12637,8,1,24,45,Unskilled,Average,Paint,1432.0,1527.75,6.69,Medium,26810.0,0.42,0.0,0.1
PRJ-0020,Metro Rail,Bihar,8462,47,5,6,128,Skilled,Average,Electrical Cable,225.0,238.15,5.84,Medium,28930.0,0.45,0.15,0.1
PRJ-0021,Industrial Warehouse,Madhya Pradesh,10174,18,3,29,389,Skilled,Average,TMT Steel,55.1,57.95,5.17,Medium,176700.0,0.55,0.0,0.3
PRJ-0022,Commercial Complex,West Bengal,23363,28,9,6,102,Semi-skilled,Good,Coarse Aggregate,39.6,41.34,4.4,Low,2088.0,0.62,0.6,0.5
PRJ-0023,Commercial Complex,Karnataka,4375,24,7,30,297,Skilled,Good,AAC Blocks,2073.0,2241.29,8.12,Medium,9256.0,0.72,0.9,0.2
PRJ-0024,Residential Apartment,West Bengal,3930,23,2,18,348,Semi-skilled,Excellent,OPC Cement,33.8,36.09,6.79,Medium,870.0,0.62,0.0,0.7
PRJ-0025,Commercial Complex,Telangana,2033,31,6,6,452,Semi-skilled,Good,Plywood,223.0,280.61,25.83,High,5473.0,0.7,0.7,0.8
PRJ-0026,Commercial Complex,Uttar Pradesh,16005,14,3,24,470,Unskilled,Average,Electrical Cable,608.0,658.74,8.35,Medium,111628.0,0.58,0.0,0.1
PRJ-0027,Residential Apartment,Jharkhand,6461,18,10,2,36,Semi-skilled,Good,Vitrified Tiles,612.0,682.25,11.48,Medium,45662.0,0.42,0.2,0.2
PRJ-0028,Metro Rail,Kerala,5301,48,1,9,483,Semi-skilled,Excellent,OPC Cement,43.3,48.71,12.49,Medium,2056.0,0.68,0.0,0.7
PRJ-0029,School/College,Telangana,10204,18,5,23,170,Unskilled,Average,Vitrified Tiles,828.0,914.36,10.43,Medium,56134.0,0.7,0.15,0.2
PRJ-0030,School/College,West Bengal,10717,14,7,28,459,Unskilled,Poor,Fly Ash Bricks,583.0,699.11,19.92,High,929.0,0.62,0.9,0.6
PRJ-0031,Bridge Construction,West Bengal,32093,23,2,20,426,Semi-skilled,Excellent,Electrical Cable,411.0,429.27,4.45,Low,40194.0,0.62,0.0,0.1
PRJ-0032,Road & Highway,Odisha,40285,23,5,7,481,Skilled,Good,TMT Steel,38.8,41.13,6.01,Medium,144460.0,0.5,0.15,0.3
PRJ-0033,Bridge Construction,Uttar Pradesh,15074,40,1,25,307,Semi-skilled,Average,Plywood,117.0,146.08,24.85,High,2763.0,0.58,0.0,0.8
PRJ-0034,Industrial Warehouse,Tamil Nadu,5862,14,8,29,421,Skilled,Average,Fly Ash Bricks,2817.0,3083.42,9.46,Medium,2131.0,0.75,0.85,0.6
PRJ-0035,School/College,Odisha,6527,12,4,14,291,Unskilled,Good,HDPE Pipes,1358.0,1462.38,7.69,Medium,46971.0,0.5,0.05,0.1
PRJ-0036,Data Center,Maharashtra,8033,22,12,7,321,Semi-skilled,Excellent,Fly Ash Bricks,1793.0,1957.93,9.2,Medium,1319.0,0.78,0.0,0.6
PRJ-0037,Bridge Construction,Haryana,37989,30,9,18,175,Expert,Average,Coarse Aggregate,112.8,123.66,9.62,Medium,13032.0,0.71,0.6,0.5
PRJ-0038,Data Center,Haryana,14923,17,11,13,488,Unskilled,Poor,AAC Blocks,273.0,300.27,9.99,Medium,1500.0,0.71,0.05,0.2
PRJ-0039,Residential Apartment,West Bengal,11066,34,8,2,221,Unskilled,Average,AAC Blocks,301.0,338.44,12.44,Medium,2059.0,0.62,0.85,0.2
PRJ-0040,Commercial Complex,Uttar Pradesh,7225,18,7,19,113,Semi-skilled,Poor,TMT Steel,104.1,112.37,7.95,Medium,512740.0,0.58,0.9,0.3
PRJ-0041,School/College,Haryana,13544,18,6,4,41,Semi-skilled,Good,Paint,315.0,335.32,6.45,Medium,5690.0,0.71,0.7,0.1
PRJ-0042,Residential Apartment,Kerala,5333,19,10,4,62,Expert,Average,HDPE Pipes,143.0,149.82,4.77,Low,3069.0,0.68,0.2,0.1
PRJ-0043,Data Center,Tamil Nadu,12250,8,10,5,188,Skilled,Good,Electrical Cable,2745.0,2952.8,7.57,Medium,457160.0,0.75,0.2,0.1
PRJ-0044,Data Center,Maharashtra,12512,13,11,6,344,Unskilled,Good,AAC Blocks,215.0,236.95,10.21,Medium,1207.0,0.78,0.05,0.2
PRJ-0045,Road & Highway,Uttar Pradesh,10449,29,5,1,477,Unskilled,Poor,Electrical Cable,513.0,562.77,9.7,Medium,109494.0,0.58,0.15,0.1
PRJ-0046,Metro Rail,Odisha,28418,21,10,1,100,Skilled,Good,Paint,989.0,1052.2,6.39,Medium,17696.0,0.5,0.2,0.1
PRJ-0047,Residential Apartment,Tamil Nadu,5637,22,6,7,461,Semi-skilled,Poor,AAC Blocks,1671.0,1865.24,11.62,Medium,10683.0,0.75,0.7,0.2
PRJ-0048,Bridge Construction,West Bengal,45477,39,11,2,244,Unskilled,Excellent,Electrical Cable,9036.0,9585.36,6.08,Medium,1208592.0,0.62,0.05,0.1
PRJ-0049,Commercial Complex,Odisha,8267,16,8,15,324,Semi-skilled,Excellent,Paint,880.0,939.38,6.75,Medium,16626.0,0.5,0.85,0.1
PRJ-0050,Metro Rail,Kerala,20112,60,1,25,444,Unskilled,Poor,Structural Steel,17.6,18.57,5.49,Medium,72750.0,0.68,0.0,0.2
PRJ-0051,Bridge Construction,Kerala,19170,37,10,25,389,Unskilled,Good,Vitrified Tiles,256.0,287.45,12.28,Medium,20442.0,0.68,0.2,0.2
PRJ-0052,Commercial Complex,Maharashtra,13410,16,5,2,469,Unskilled,Poor,Vitrified Tiles,193.0,232.34,20.39,High,25571.0,0.78,0.15,0.2
PRJ-0053,Bridge Construction,Tamil Nadu,40570,37,2,21,334,Skilled,Excellent,Plywood,298.0,336.81,13.02,Medium,3687.0,0.75,0.0,0.8
PRJ-0054,Metro Rail,Haryana,45409,29,10,18,203,Unskilled,Good,AAC Blocks,147.0,161.25,9.69,Medium,784.0,0.71,0.2,0.2
PRJ-0055,Metro Rail,Karnataka,28681,42,1,3,37,Unskilled,Excellent,Vitrified Tiles,63.0,65.48,3.93,Low,1612.0,0.72,0.0,0.2
PRJ-0056,Residential Apartment,Kerala,15034,30,1,14,487,Skilled,Average,OPC Cement,171.5,186.95,9.01,Medium,5871.0,0.68,0.0,0.7
PRJ-0057,School/College,Bihar,8196,23,12,9,42,Skilled,Good,Electrical Cable,401.0,422.79,5.43,Medium,47938.0,0.45,0.0,0.1
PRJ-0058,School/College,Rajasthan,12144,12,12,23,475,Expert,Good,Vitrified Tiles,477.0,512.78,7.5,Medium,23257.0,0.65,0.0,0.2
PRJ-0059,Bridge Construction,Rajasthan,29573,32,10,1,21,Unskilled,Average,River Sand,77.3,96.94,25.41,High,35352.0,0.65,0.2,0.9
PRJ-0060,Metro Rail,Uttar Pradesh,19284,28,1,21,198,Skilled,Poor,Coarse Aggregate,14.9,16.26,9.16,Medium,1632.0,0.58,0.0,0.5
PRJ-0061,Data Center,Uttar Pradesh,3130,20,5,6,166,Unskilled,Average,River Sand,192.2,247.32,28.68,High,99216.0,0.58,0.15,0.9
PRJ-0062,Residential Apartment,Kerala,23675,30,3,23,418,Unskilled,Good,Fly Ash Bricks,1056.0,1221.76,15.7,High,1326.0,0.68,0.0,0.6
PRJ-0063,Metro Rail,Jharkhand,9570,18,2,24,423,Unskilled,Poor,Structural Steel,356.3,377.88,6.06,Medium,1618500.0,0.42,0.0,0.2
PRJ-0064,Residential Apartment,Uttar Pradesh,2184,32,4,25,296,Semi-skilled,Average,Fly Ash Bricks,275.0,304.91,10.88,Medium,239.0,0.58,0.05,0.6
PRJ-0065,Road & Highway,Maharashtra,12644,23,3,13,221,Unskilled,Good,Vitrified Tiles,208.0,220.65,6.08,Medium,8223.0,0.78,0.0,0.2
PRJ-0066,Residential Apartment,Rajasthan,12961,26,11,11,406,Skilled,Average,HDPE Pipes,175.0,180.39,3.08,Low,2425.0,0.65,0.05,0.1
PRJ-0067,Hospital,Uttar Pradesh,4048,10,10,6,323,Semi-skilled,Good,Fly Ash Bricks,229.0,267.57,16.84,High,309.0,0.58,0.2,0.6
PRJ-0068,Industrial Warehouse,Bihar,4783,15,1,14,363,Skilled,Poor,TMT Steel,25.2,27.1,7.56,Medium,117800.0,0.45,0.0,0.3
PRJ-0069,Industrial Warehouse,West Bengal,6795,24,6,6,59,Unskilled,Excellent,TMT Steel,187.0,199.35,6.6,Medium,765700.0,0.62,0.7,0.3
PRJ-0070,Industrial Warehouse,Maharashtra,2876,10,8,26,196,Skilled,Poor,HDPE Pipes,165.0,167.88,1.74,Low,1296.0,0.78,0.85,0.1
PRJ-0071,Residential Apartment,Karnataka,16137,34,4,6,70,Semi-skilled,Average,Plywood,912.0,1123.92,23.24,High,20132.0,0.72,0.05,0.8
PRJ-0072,Industrial Warehouse,Tamil Nadu,9592,11,6,17,313,Skilled,Good,Plywood,737.0,857.33,16.33,High,11431.0,0.75,0.7,0.8
PRJ-0073,Metro Rail,Telangana,33425,24,2,25,77,Semi-skilled,Poor,AAC Blocks,231.0,251.13,8.72,Medium,1107.0,0.7,0.0,0.2
PRJ-0074,Metro Rail,Madhya Pradesh,10344,55,9,29,180,Semi-skilled,Average,Electrical Cable,2154.0,2291.21,6.37,Medium,301862.0,0.55,0.6,0.1
PRJ-0075,Industrial Warehouse,Punjab,2543,20,12,18,284,Unskilled,Poor,AAC Blocks,753.0,844.65,12.17,Medium,5041.0,0.74,0.0,0.2
PRJ-0076,Road & Highway,West Bengal,44575,31,9,3,300,Expert,Average,River Sand,16.5,18.92,14.69,Medium,4356.0,0.62,0.6,0.9
PRJ-0077,School/College,Haryana,8857,13,10,26,280,Unskilled,Excellent,Fly Ash Bricks,3030.0,3455.44,14.04,Medium,3404.0,0.71,0.2,0.6
PRJ-0078,Residential Apartment,Kerala,18839,16,2,6,389,Skilled,Poor,TMT Steel,33.5,35.8,6.87,Medium,142600.0,0.68,0.0,0.3
PRJ-0079,Industrial Warehouse,Madhya Pradesh,11076,17,4,18,85,Semi-skilled,Good,Coarse Aggregate,36.6,40.39,10.37,Medium,4548.0,0.55,0.05,0.5
PRJ-0080,Industrial Warehouse,Kerala,1969,16,3,3,162,Unskilled,Excellent,Plywood,8580.0,10332.0,20.42,High,166440.0,0.68,0.0,0.8
PRJ-0081,Road & Highway,Punjab,39399,25,3,3,235,Expert,Excellent,Vitrified Tiles,559.0,580.13,3.78,Low,13734.0,0.74,0.0,0.2
PRJ-0082,Road & Highway,Punjab,49114,26,1,24,341,Semi-skilled,Poor,Plywood,498.0,625.0,25.5,High,12065.0,0.74,0.0,0.8
PRJ-0083,Road & Highway,Maharashtra,14782,32,5,28,87,Unskilled,Average,AAC Blocks,269.0,282.2,4.91,Low,726.0,0.78,0.15,0.2
PRJ-0084,Industrial Warehouse,Punjab,4992,19,2,23,119,Unskilled,Good,River Sand,25.6,30.7,19.92,High,9180.0,0.74,0.0,0.9
PRJ-0085,School/College,Tamil Nadu,6496,9,7,14,149,Unskilled,Poor,TMT Steel,289.3,317.91,9.89,Medium,1773820.0,0.75,0.9,0.3
PRJ-0086,Metro Rail,Punjab,20126,46,10,15,255,Unskilled,Excellent,OPC Cement,68.5,76.75,12.04,Medium,3135.0,0.74,0.2,0.7
PRJ-0087,School/College,Gujarat,13581,10,3,22,31,Semi-skilled,Excellent,OPC Cement,95.3,104.84,10.01,Medium,3625.0,0.82,0.0,0.7
PRJ-0088,Data Center,Kerala,13161,10,11,16,172,Unskilled,Average,River Sand,76.3,93.95,23.13,High,31770.0,0.68,0.05,0.9
PRJ-0089,School/College,Gujarat,13864,8,2,9,146,Skilled,Good,Fly Ash Bricks,337.0,398.94,18.38,High,496.0,0.82,0.0,0.6
PRJ-0090,Commercial Complex,Telangana,14841,17,7,5,310,Unskilled,Good,OPC Cement,54.2,62.32,14.99,Medium,3086.0,0.7,0.9,0.7
PRJ-0091,Data Center,West Bengal,9209,9,1,12,227,Semi-skilled,Average,Structural Steel,24.4,25.61,4.98,Low,90750.0,0.62,0.0,0.2
PRJ-0092,Data Center,West Bengal,7277,15,1,23,221,Skilled,Poor,HDPE Pipes,616.0,647.85,5.17,Medium,14333.0,0.62,0.0,0.1
PRJ-0093,Data Center,Uttar Pradesh,1990,17,6,19,166,Skilled,Good,Fly Ash Bricks,1707.0,1964.93,15.11,High,2063.0,0.58,0.7,0.6
PRJ-0094,Residential Apartment,West Bengal,14829,18,7,22,176,Semi-skilled,Poor,Coarse Aggregate,234.7,264.8,12.83,Medium,36120.0,0.62,0.9,0.5
PRJ-0095,Data Center,Uttar Pradesh,5952,20,1,6,252,Unskilled,Good,Structural Steel,32.9,34.79,5.73,Medium,141750.0,0.58,0.0,0.2
PRJ-0096,Industrial Warehouse,Bihar,2449,17,2,5,150,Unskilled,Average,River Sand,47.8,59.43,24.33,High,20934.0,0.45,0.0,0.9
PRJ-0097,Metro Rail,Kerala,26008,35,9,22,97,Unskilled,Average,HDPE Pipes,393.0,420.14,6.9,Medium,12213.0,0.68,0.6,0.1
PRJ-0098,Residential Apartment,Madhya Pradesh,18154,31,12,22,336,Unskilled,Average,Structural Steel,190.4,201.37,5.76,Medium,822750.0,0.55,0.0,0.2
PRJ-0099,Industrial Warehouse,Kerala,12867,17,4,30,440,Semi-skilled,Good,Vitrified Tiles,1276.0,1410.66,10.55,Medium,87529.0,0.68,0.05,0.2
PRJ-0100,Data Center,Rajasthan,4293,18,4,26,142,Skilled,Good,Fly Ash Bricks,994.0,1128.47,13.53,Medium,1076.0,0.65,0.05,0.6
PRJ-0101,Hospital,Karnataka,11923,9,6,12,292,Unskilled,Poor,Coarse Aggregate,12.0,13.84,15.31,High,2208.0,0.72,0.7,0.5
PRJ-0102,Residential Apartment,Odisha,9893,14,12,3,381,Skilled,Good,HDPE Pipes,195.0,207.57,6.45,Medium,5656.0,0.5,0.0,0.1
PRJ-0103,Hospital,Bihar,7125,16,1,12,462,Semi-skilled,Good,Paint,727.0,772.72,6.29,Medium,12802.0,0.45,0.0,0.1
PRJ-0104,Bridge Construction,West Bengal,34722,43,6,19,384,Skilled,Good,Fly Ash Bricks,965.0,1075.39,11.44,Medium,883.0,0.62,0.7,0.6
PRJ-0105,Metro Rail,Gujarat,20723,45,6,12,308,Semi-skilled,Good,Structural Steel,140.8,146.16,3.8,Low,402000.0,0.82,0.7,0.2
PRJ-0106,Data Center,Haryana,10742,24,12,13,433,Unskilled,Poor,Fly Ash Bricks,2764.0,3374.09,22.07,High,4881.0,0.71,0.0,0.6
PRJ-0107,Industrial Warehouse,Tamil Nadu,6623,17,3,12,31,Semi-skilled,Excellent,Vitrified Tiles,851.0,889.01,4.47,Low,24706.0,0.75,0.0,0.2
PRJ-0108,Metro Rail,Haryana,25076,50,10,3,437,Unskilled,Good,Vitrified Tiles,196.0,215.79,10.1,Medium,12863.0,0.71,0.2,0.2
PRJ-0109,Industrial Warehouse,Uttar Pradesh,10432,20,6,13,174,Skilled,Poor,Coarse Aggregate,59.2,65.5,10.64,Medium,7560.0,0.58,0.7,0.5
PRJ-0110,Residential Apartment,West Bengal,6479,19,5,12,417,Semi-skilled,Excellent,Fly Ash Bricks,4236.0,4721.16,11.45,Medium,3881.0,0.62,0.15,0.6
PRJ-0111,Industrial Warehouse,Bihar,14330,17,2,2,361,Expert,Good,Vitrified Tiles,525.0,570.94,8.75,Medium,29861.0,0.45,0.0,0.2
PRJ-0112,Road & Highway,Gujarat,32227,25,3,10,417,Unskilled,Average,Paint,369.0,394.18,6.82,Medium,7050.0,0.82,0.0,0.1
PRJ-0113,Residential Apartment,West Bengal,15521,19,10,22,414,Semi-skilled,Poor,Plywood,495.0,653.31,31.98,High,15039.0,0.62,0.2,0.8
PRJ-0114,Residential Apartment,Maharashtra,23155,33,9,24,82,Semi-skilled,Average,AAC Blocks,1402.0,1503.97,7.27,Medium,5608.0,0.78,0.6,0.2
PRJ-0115,Industrial Warehouse,Karnataka,2300,19,2,24,301,Unskilled,Excellent,HDPE Pipes,388.0,398.48,2.7,Low,4716.0,0.72,0.0,0.1
PRJ-0116,Bridge Construction,Uttar Pradesh,18704,41,3,27,356,Unskilled,Good,Structural Steel,25.3,26.56,4.96,Low,94500.0,0.58,0.0,0.2
PRJ-0117,School/College,Odisha,5255,16,8,28,368,Semi-skilled,Good,TMT Steel,49.4,51.34,3.92,Low,120280.0,0.5,0.85,0.3
PRJ-0118,Commercial Complex,West Bengal,23063,17,4,28,351,Expert,Good,Paint,2192.0,2308.23,5.3,Medium,32544.0,0.62,0.05,0.1
PRJ-0119,School/College,Bihar,13156,12,6,8,483,Unskilled,Average,Vitrified Tiles,879.0,1012.18,15.15,High,86567.0,0.45,0.7,0.2
PRJ-0120,Data Center,Bihar,6307,21,11,7,119,Semi-skilled,Poor,TMT Steel,34.9,38.06,9.04,Medium,195920.0,0.45,0.05,0.3
PRJ-0121,Residential Apartment,Haryana,24946,23,11,27,98,Skilled,Excellent,OPC Cement,37.5,41.08,9.56,Medium,1360.0,0.71,0.05,0.7
PRJ-0122,Residential Apartment,Haryana,12665,32,6,17,357,Expert,Poor,River Sand,158.5,190.13,19.95,High,56934.0,0.71,0.7,0.9
PRJ-0123,Hospital,Jharkhand,3919,12,11,3,178,Unskilled,Average,Coarse Aggregate,95.2,106.92,12.31,Medium,14064.0,0.42,0.05,0.5
PRJ-0124,Commercial Complex,Bihar,21798,21,1,8,313,Semi-skilled,Poor,Coarse Aggregate,175.9,200.45,13.96,Medium,29460.0,0.45,0.0,0.5
PRJ-0125,Data Center,Madhya Pradesh,12372,10,11,16,104,Skilled,Poor,Coarse Aggregate,76.8,84.24,9.69,Medium,8928.0,0.55,0.05,0.5
PRJ-0126,Data Center,Telangana,6751,12,6,17,417,Unskilled,Excellent,TMT Steel,77.6,83.48,7.58,Medium,364560.0,0.7,0.7,0.3
PRJ-0127,Industrial Warehouse,Telangana,11341,23,12,26,146,Unskilled,Good,Vitrified Tiles,1663.0,1689.35,1.58,Low,17127.0,0.7,0.0,0.2
PRJ-0128,Metro Rail,Jharkhand,49753,31,11,30,140,Unskilled,Poor,Paint,114.0,125.7,10.26,Medium,3276.0,0.42,0.05,0.1
PRJ-0129,Hospital,Gujarat,11091,14,12,29,287,Semi-skilled,Poor,Fly Ash Bricks,1631.0,1893.11,16.07,High,2097.0,0.82,0.0,0.6
PRJ-0130,Metro Rail,Jharkhand,19552,40,8,8,86,Unskilled,Average,HDPE Pipes,1410.0,1528.41,8.4,Medium,53285.0,0.42,0.85,0.1
PRJ-0131,Metro Rail,Maharashtra,31024,23,8,30,45,Semi-skilled,Average,HDPE Pipes,1262.0,1335.92,5.86,Medium,33264.0,0.78,0.85,0.1
PRJ-0132,Industrial Warehouse,Bihar,9156,11,10,25,278,Skilled,Good,Coarse Aggregate,15.1,15.91,5.39,Medium,972.0,0.45,0.2,0.5
PRJ-0133,Data Center,Maharashtra,1231,23,2,4,99,Unskilled,Average,HDPE Pipes,812.0,891.17,9.75,Medium,35626.0,0.78,0.0,0.1
PRJ-0134,Road & Highway,Haryana,49418,53,9,21,113,Semi-skilled,Excellent,Electrical Cable,4120.0,4306.77,4.53,Low,410894.0,0.71,0.6,0.1
PRJ-0135,Data Center,Haryana,13485,16,12,18,460,Unskilled,Average,Coarse Aggregate,31.5,34.38,9.16,Medium,3456.0,0.71,0.0,0.5
PRJ-0136,Metro Rail,West Bengal,13586,27,5,7,130,Expert,Excellent,River Sand,193.8,223.34,15.24,High,53172.0,0.62,0.15,0.9
PRJ-0137,Industrial Warehouse,Haryana,9328,8,12,21,74,Skilled,Average,River Sand,49.3,53.33,8.17,Medium,7254.0,0.71,0.0,0.9
PRJ-0138,Metro Rail,Madhya Pradesh,42098,27,11,23,437,Semi-skilled,Good,River Sand,22.6,26.8,18.59,High,7560.0,0.55,0.05,0.9
PRJ-0139,Industrial Warehouse,Punjab,7635,9,6,13,113,Skilled,Average,AAC Blocks,344.0,376.56,9.46,Medium,1791.0,0.74,0.7,0.2
PRJ-0140,Road & Highway,Uttar Pradesh,8231,42,11,8,446,Skilled,Good,Electrical Cable,82.0,85.85,4.7,Low,8470.0,0.58,0.05,0.1
PRJ-0141,Road & Highway,Tamil Nadu,12519,52,11,2,159,Unskilled,Good,Fly Ash Bricks,1811.0,2198.37,21.39,High,3099.0,0.75,0.05,0.6
PRJ-0142,Commercial Complex,Jharkhand,2206,27,4,22,181,Unskilled,Average,Fly Ash Bricks,2828.0,3305.67,16.89,High,3821.0,0.42,0.05,0.6
PRJ-0143,Commercial Complex,Kerala,12615,16,9,1,474,Semi-skilled,Poor,Structural Steel,59.0,62.96,6.71,Medium,297000.0,0.68,0.6,0.2
PRJ-0144,Industrial Warehouse,Bihar,1939,24,11,26,166,Semi-skilled,Poor,Paint,45.0,48.77,8.37,Medium,1056.0,0.45,0.05,0.1
PRJ-0145,Hospital,Kerala,7326,10,6,11,394,Unskilled,Average,AAC Blocks,2306.0,2494.52,8.18,Medium,10369.0,0.68,0.7,0.2
PRJ-0146,Metro Rail,Rajasthan,9765,29,10,30,340,Semi-skilled,Average,Structural Steel,288.8,293.8,1.73,Low,375000.0,0.65,0.2,0.2
PRJ-0147,Bridge Construction,Tamil Nadu,42108,39,2,11,239,Unskilled,Average,Plywood,1100.0,1342.97,22.09,High,23082.0,0.75,0.0,0.8
PRJ-0148,Commercial Complex,Telangana,14319,30,12,7,322,Unskilled,Average,AAC Blocks,1010.0,1105.88,9.49,Medium,5273.0,0.7,0.0,0.2
PRJ-0149,Industrial Warehouse,Maharashtra,14163,8,8,26,90,Unskilled,Poor,River Sand,69.4,90.71,30.7,High,38358.0,0.78,0.85,0.9
PRJ-0150,Residential Apartment,Tamil Nadu,23365,27,10,4,89,Semi-skilled,Poor,Fly Ash Bricks,738.0,912.69,23.67,High,1398.0,0.75,0.2,0.6
PRJ-0151,Commercial Complex,Gujarat,9983,36,10,23,240,Skilled,Average,Electrical Cable,1396.0,1484.03,6.31,Medium,193666.0,0.82,0.2,0.1
PRJ-0152,School/College,Telangana,8436,20,11,2,309,Expert,Average,OPC Cement,99.0,108.3,9.39,Medium,3534.0,0.7,0.05,0.7
PRJ-0153,Industrial Warehouse,Bihar,8927,15,8,3,428,Semi-skilled,Good,River Sand,53.0,64.85,22.37,High,21330.0,0.45,0.85,0.9
PRJ-0154,Hospital,Kerala,12058,8,7,15,193,Semi-skilled,Excellent,HDPE Pipes,86.0,91.05,5.88,Medium,2272.0,0.68,0.9,0.1
PRJ-0155,Hospital,Kerala,7887,19,9,8,450,Semi-skilled,Poor,Plywood,167.0,220.75,32.19,High,5106.0,0.68,0.6,0.8
PRJ-0156,Bridge Construction,Gujarat,44493,23,2,21,414,Unskilled,Average,TMT Steel,14.5,15.82,9.07,Medium,81840.0,0.82,0.0,0.3
PRJ-0157,School/College,Kerala,13871,18,12,6,139,Unskilled,Poor,OPC Cement,56.3,68.05,20.86,High,4465.0,0.68,0.0,0.7
PRJ-0158,Commercial Complex,Uttar Pradesh,13439,27,1,26,213,Unskilled,Average,Plywood,1164.0,1396.24,19.95,High,22063.0,0.58,0.0,0.8
PRJ-0159,Hospital,Odisha,8863,8,5,23,45,Unskilled,Average,HDPE Pipes,1341.0,1456.09,8.58,Medium,51790.0,0.5,0.15,0.1
PRJ-0160,Hospital,Bihar,6065,21,5,16,225,Unskilled,Average,Electrical Cable,345.0,370.31,7.34,Medium,55682.0,0.45,0.15,0.1
PRJ-0161,Bridge Construction,Haryana,32511,30,2,13,475,Unskilled,Good,TMT Steel,30.2,32.35,7.12,Medium,133300.0,0.71,0.0,0.3
PRJ-0162,Bridge Construction,Jharkhand,7164,19,6,14,145,Unskilled,Good,Electrical Cable,1518.0,1606.09,5.8,Medium,193798.0,0.42,0.7,0.1
PRJ-0163,Road & Highway,Maharashtra,30304,35,10,19,238,Semi-skilled,Excellent,Electrical Cable,3421.0,3592.06,5.0,Medium,376332.0,0.78,0.2,0.1
PRJ-0164,Commercial Complex,Tamil Nadu,20528,32,11,12,90,Semi-skilled,Average,AAC Blocks,1217.0,1330.55,9.33,Medium,6245.0,0.75,0.05,0.2
PRJ-0165,Road & Highway,Maharashtra,29311,55,12,15,388,Unskilled,Average,OPC Cement,40.7,46.63,14.58,Medium,2253.0,0.78,0.0,0.7
