order_id,order_date,month,day_of_week,quarter,is_festival_period,material_type,supplier_tier,origin_state,destination_state,distance_km,order_quantity,promised_lead_days,monsoon_intensity,monsoon_sensitivity,dest_logistics_score,orig_logistics_score,dest_monsoon_severity,supplier_reliability,past_delay_rate,delay_probability,is_delayed,actual_delay_days,vehicle_type,temperature,humidity,traffic_status,waiting_time,inventory_level,asset_utilization,demand_forecast,order_value_inr,road_quality,supplier_capacity,fuel_price_index,driver_experience
ORD-00025,2023-08-18,8,4,3,0,AAC Blocks,Tier 2 (Regional Distributor),Gujarat,Maharashtra,1786,1258.0,19,0.85,0.2,0.78,0.82,0.8,0.72,0.157,0.53,1,14,Truck,32.3,47.4,Moderate,37,384,58.1,706,69190.0,0.8,51,103.58,19
ORD-00026,2023-06-11,6,6,2,0,OPC Cement,Tier 3 (Local Supplier),West Bengal,Jharkhand,1171,20.7,9,0.7,0.7,0.42,0.62,0.7,0.55,0.454,0.854,1,18,Mini Truck,20.6,76.8,Heavy,76,592,97.1,475,7866.0,0.52,74,106.8,21
ORD-00027,2025-12-26,12,4,4,1,River Sand,Tier 1 (Large Manufacturer),Kerala,West Bengal,1272,7.9,12,0.0,0.9,0.62,0.68,0.8,0.88,0.087,0.46,0,0,Truck,35.1,55.4,Moderate,43,289,80.3,879,14220.0,0.65,62,90.24,23
ORD-00028,2025-05-16,5,4,2,0,Coarse Aggregate,Tier 3 (Local Supplier),Odisha,Punjab,878,57.1,9,0.15,0.5,0.74,0.5,0.5,0.55,0.434,0.538,1,1,Truck,26.6,35.7,Moderate,40,332,93.1,364,68520.0,0.62,77,97.52,14
ORD-00029,2025-03-28,3,4,1,1,Plywood,Tier 3 (Local Supplier),Uttar Pradesh,West Bengal,545,1346.0,9,0.0,0.8,0.62,0.58,0.8,0.55,0.283,0.555,1,1,Container,34.6,82.5,Detour,45,668,60.1,792,127870.0,0.6,88,90.43,14
ORD-00030,2024-04-05,4,4,2,0,OPC Cement,Tier 2 (Regional Distributor),Maharashtra,Telangana,737,67.4,7,0.05,0.7,0.7,0.78,0.6,0.72,0.372,0.491,1,1,Truck,37.1,85.3,Moderate,39,273,86.5,269,25612.0,0.74,99,103.97,2
ORD-00031,2023-01-15,1,6,1,1,OPC Cement,Tier 3 (Local Supplier),Kerala,Maharashtra,594,108.1,6,0.0,0.7,0.78,0.68,0.8,0.55,0.552,0.746,1,8,Truck,23.5,54.8,Detour,61,225,77.2,752,41078.0,0.73,77,92.96,20
ORD-00032,2023-03-06,3,0,1,0,AAC Blocks,Tier 1 (Large Manufacturer),Madhya Pradesh,Gujarat,1542,427.0,18,0.0,0.2,0.82,0.55,0.4,0.88,0.138,0.499,0,0,Trailer,27.6,83.1,Moderate,45,784,98.6,928,23485.0,0.69,70,93.25,16
ORD-00033,2024-03-14,3,3,1,0,HDPE Pipes,Tier 1 (Large Manufacturer),Punjab,Haryana,1705,200.0,23,0.0,0.1,0.71,0.74,0.5,0.88,0.111,0.378,0,0,Container,39.9,76.8,Moderate,27,358,95.6,111,90000.0,0.72,81,92.26,16
ORD-00034,2025-08-26,8,1,3,0,Structural Steel,Tier 1 (Large Manufacturer),Tamil Nadu,Tamil Nadu,141,12.6,21,0.85,0.2,0.75,0.75,0.7,0.88,0.196,0.338,0,0,Container,23.0,51.0,Clear,29,968,98.8,803,945000.0,0.75,66,112.71,9
ORD-00035,2025-04-21,4,0,2,0,Electrical Cable,Tier 3 (Local Supplier),Maharashtra,Kerala,1731,2175.0,25,0.05,0.1,0.68,0.78,0.95,0.55,0.474,0.411,0,0,Mini Truck,38.2,40.0,Moderate,43,897,94.0,976,4785000.0,0.73,82,86.16,22
ORD-00036,2024-11-25,11,0,4,0,OPC Cement,Tier 1 (Large Manufacturer),Gujarat,Gujarat,76,19.0,5,0.05,0.7,0.82,0.82,0.4,0.88,0.241,0.301,0,0,Container,18.8,43.0,Clear,32,504,57.5,617,7220.0,0.82,66,100.88,5
ORD-00037,2024-01-11,1,3,1,0,Fly Ash Bricks,Tier 2 (Regional Distributor),Gujarat,Jharkhand,150,455.0,10,0.0,0.6,0.42,0.82,0.7,0.72,0.382,0.413,0,0,Mini Truck,23.0,75.3,Moderate,48,899,57.1,194,3640.0,0.62,88,104.12,2
ORD-00038,2023-07-20,7,3,3,0,TMT Steel,Tier 3 (Local Supplier),Madhya Pradesh,Jharkhand,385,75.3,14,0.9,0.3,0.42,0.55,0.7,0.55,0.466,0.731,1,14,Mini Truck,26.9,43.0,Detour,69,402,73.9,328,4668600.0,0.48,63,101.33,2
ORD-00039,2024-04-29,4,0,2,0,River Sand,Tier 2 (Regional Distributor),West Bengal,West Bengal,228,26.7,7,0.05,0.9,0.62,0.62,0.8,0.72,0.377,0.568,1,5,Truck,29.3,82.0,Detour,49,641,83.0,662,48060.0,0.62,54,105.74,4
ORD-00040,2023-05-01,5,0,2,0,River Sand,Tier 2 (Regional Distributor),Maharashtra,Bihar,275,11.7,7,0.15,0.9,0.45,0.78,0.7,0.72,0.239,0.549,1,12,Trailer,19.7,42.7,Moderate,46,282,81.3,473,21060.0,0.61,57,105.36,4
ORD-00041,2025-07-20,7,6,3,0,Fly Ash Bricks,Tier 2 (Regional Distributor),Punjab,Punjab,227,103.0,10,0.9,0.6,0.74,0.74,0.5,0.72,0.165,0.362,0,0,Container,36.1,55.7,Moderate,38,781,63.0,504,824.0,0.74,50,104.03,5
ORD-00042,2024-08-30,8,4,3,0,Coarse Aggregate,Tier 1 (Large Manufacturer),Telangana,Punjab,1246,32.0,11,0.85,0.5,0.74,0.7,0.5,0.88,0.169,0.677,1,6,Mini Truck,33.1,65.7,Detour,49,206,96.4,672,38400.0,0.72,75,92.8,4
ORD-00043,2023-04-28,4,4,2,0,TMT Steel,Tier 3 (Local Supplier),West Bengal,Madhya Pradesh,875,61.3,17,0.05,0.3,0.55,0.62,0.5,0.55,0.452,0.585,1,9,Truck,29.7,78.2,Detour,41,765,56.7,411,3800600.0,0.58,56,93.76,3
ORD-00044,2025-11-06,11,3,4,0,OPC Cement,Tier 1 (Large Manufacturer),Tamil Nadu,Telangana,888,16.5,8,0.05,0.7,0.7,0.75,0.6,0.88,0.064,0.543,1,10,Mini Truck,34.2,45.9,Moderate,29,138,69.5,330,6270.0,0.72,75,98.19,12
ORD-00045,2024-04-26,4,4,2,0,Structural Steel,Tier 1 (Large Manufacturer),Haryana,Telangana,1319,35.2,26,0.05,0.2,0.7,0.71,0.6,0.88,0.138,0.494,0,0,Truck,30.9,79.7,Moderate,44,468,80.4,653,2640000.0,0.7,86,93.11,6
ORD-00046,2023-03-23,3,3,1,0,Vitrified Tiles,Tier 1 (Large Manufacturer),Bihar,Kerala,1550,281.0,26,0.0,0.2,0.68,0.45,0.95,0.88,0.02,0.562,1,21,Trailer,21.4,49.8,Detour,51,615,93.3,545,182650.0,0.57,80,98.09,24
ORD-00047,2024-02-23,2,4,1,0,Plywood,Tier 3 (Local Supplier),Uttar Pradesh,Gujarat,795,400.0,10,0.0,0.8,0.82,0.58,0.4,0.55,0.377,0.466,1,15,Trailer,33.9,84.3,Moderate,45,293,80.1,491,38000.0,0.7,94,103.61,12
ORD-00048,2024-09-06,9,4,3,0,Electrical Cable,Tier 2 (Regional Distributor),Haryana,Odisha,803,764.0,21,0.6,0.1,0.5,0.71,0.8,0.72,0.168,0.393,0,0,Mini Truck,21.4,63.9,Moderate,34,358,57.3,789,1680800.0,0.6,54,86.71,23
ORD-00049,2023-07-24,7,0,3,0,OPC Cement,Tier 3 (Local Supplier),Gujarat,Madhya Pradesh,1492,80.2,11,0.9,0.7,0.55,0.82,0.5,0.55,0.48,0.526,0,0,Trailer,31.1,63.3,Moderate,46,518,70.7,916,30476.0,0.69,93,106.17,18
ORD-00050,2024-12-15,12,6,4,0,OPC Cement,Tier 1 (Large Manufacturer),Uttar Pradesh,Rajasthan,1067,50.7,9,0.0,0.7,0.65,0.58,0.3,0.88,0.186,0.398,0,0,Truck,35.6,84.5,Moderate,35,264,91.7,478,19266.0,0.61,75,105.57,4
ORD-00051,2024-09-11,9,2,3,0,Vitrified Tiles,Tier 3 (Local Supplier),Madhya Pradesh,Maharashtra,765,205.0,22,0.6,0.2,0.78,0.55,0.8,0.55,0.39,0.867,1,9,Trailer,24.6,79.9,Heavy,65,242,81.0,244,133250.0,0.67,96,82.16,23
ORD-00052,2023-08-01,8,1,3,0,River Sand,Tier 2 (Regional Distributor),Tamil Nadu,Haryana,728,10.1,9,0.85,0.9,0.71,0.75,0.5,0.72,0.358,0.645,1,21,Mini Truck,21.1,82.6,Detour,49,768,77.3,577,18180.0,0.73,76,109.15,4
ORD-00053,2023-11-15,11,2,4,0,Fly Ash Bricks,Tier 2 (Regional Distributor),Telangana,Gujarat,666,285.0,12,0.05,0.6,0.82,0.7,0.4,0.72,0.246,0.327,0,0,Trailer,36.1,41.6,Clear,44,327,75.6,795,2280.0,0.76,78,106.63,8
ORD-00054,2024-06-24,6,0,2,0,HDPE Pipes,Tier 2 (Regional Distributor),Rajasthan,Haryana,244,1526.0,16,0.7,0.1,0.71,0.65,0.5,0.72,0.209,0.368,0,0,Mini Truck,33.8,70.9,Moderate,39,759,63.2,941,686700.0,0.68,87,115.99,6
ORD-00055,2025-05-17,5,5,2,0,Fly Ash Bricks,Tier 1 (Large Manufacturer),Maharashtra,Uttar Pradesh,1134,961.0,14,0.15,0.6,0.58,0.78,0.6,0.88,0.271,0.469,0,0,Truck,31.0,41.1,Moderate,56,423,90.6,904,7688.0,0.68,91,92.51,17
ORD-00056,2024-06-20,6,3,2,0,River Sand,Tier 3 (Local Supplier),West Bengal,Madhya Pradesh,1469,25.4,13,0.7,0.9,0.55,0.62,0.5,0.55,0.403,0.683,1,1,Container,21.6,46.2,Detour,62,924,69.9,666,45720.0,0.58,89,96.24,15
ORD-00057,2023-08-18,8,4,3,0,OPC Cement,Tier 3 (Local Supplier),Haryana,Karnataka,1086,28.0,9,0.85,0.7,0.72,0.71,0.7,0.55,0.435,0.727,1,1,Mini Truck,37.0,90.4,Detour,46,309,76.6,446,10640.0,0.71,92,92.42,12
ORD-00058,2023-10-31,10,1,4,0,Structural Steel,Tier 1 (Large Manufacturer),Maharashtra,Rajasthan,1334,78.6,26,0.2,0.2,0.65,0.78,0.3,0.88,0.209,0.471,0,0,Trailer,31.9,35.8,Moderate,32,568,78.2,948,5895000.0,0.72,90,85.24,17
ORD-00059,2023-03-23,3,3,1,0,AAC Blocks,Tier 1 (Large Manufacturer),Kerala,Gujarat,476,205.0,13,0.0,0.2,0.82,0.68,0.4,0.88,0.207,0.331,0,0,Mini Truck,34.5,47.6,Clear,23,822,70.7,769,11275.0,0.75,98,101.19,13
ORD-00060,2025-04-12,4,5,2,0,Vitrified Tiles,Tier 3 (Local Supplier),Karnataka,Haryana,1544,1617.0,26,0.05,0.2,0.71,0.72,0.5,0.55,0.438,0.541,0,0,Truck,27.7,59.0,Moderate,53,777,89.4,743,1051050.0,0.71,57,78.73,23
ORD-00061,2023-12-29,12,4,4,1,Structural Steel,Tier 1 (Large Manufacturer),Karnataka,Punjab,1553,88.0,27,0.0,0.2,0.74,0.72,0.5,0.88,0.131,0.557,1,45,Trailer,23.6,46.8,Detour,54,866,55.9,153,6600000.0,0.73,86,82.61,3
ORD-00062,2025-04-23,4,2,2,0,Plywood,Tier 3 (Local Supplier),Odisha,Gujarat,1461,510.0,14,0.05,0.8,0.82,0.5,0.4,0.55,0.559,0.588,1,20,Trailer,26.7,75.1,Detour,52,568,73.3,922,48450.0,0.66,67,102.02,7
ORD-00063,2023-08-10,8,3,3,0,Structural Steel,Tier 1 (Large Manufacturer),Jharkhand,West Bengal,964,10.0,24,0.85,0.2,0.62,0.42,0.8,0.88,0.02,0.629,1,19,Truck,36.2,56.8,Detour,59,218,67.1,360,750000.0,0.52,87,109.11,9
ORD-00064,2025-07-31,7,3,3,0,AAC Blocks,Tier 2 (Regional Distributor),Jharkhand,Odisha,870,3938.0,15,0.9,0.2,0.5,0.42,0.8,0.72,0.281,0.552,1,1,Truck,34.3,76.9,Detour,43,380,66.6,857,216590.0,0.46,92,77.73,14
ORD-00065,2024-01-31,1,2,1,0,Structural Steel,Tier 2 (Regional Distributor),Rajasthan,Jharkhand,1319,97.3,26,0.0,0.2,0.42,0.65,0.7,0.72,0.41,0.672,1,40,Mini Truck,29.0,39.0,Detour,45,776,84.3,477,7297500.0,0.54,72,101.01,21
ORD-00066,2024-07-25,7,3,3,0,AAC Blocks,Tier 3 (Local Supplier),Madhya Pradesh,Bihar,1071,1642.0,16,0.9,0.2,0.45,0.55,0.7,0.55,0.401,0.765,1,23,Trailer,27.3,56.2,Heavy,50,921,88.2,918,90310.0,0.5,85,96.04,19
ORD-00067,2023-08-25,8,4,3,0,Fly Ash Bricks,Tier 1 (Large Manufacturer),Telangana,Rajasthan,956,693.0,13,0.85,0.6,0.65,0.7,0.3,0.88,0.143,0.46,0,0,Mini Truck,26.7,92.2,Moderate,46,505,88.0,388,5544.0,0.68,96,101.06,20
ORD-00068,2025-06-08,6,6,2,0,AAC Blocks,Tier 3 (Local Supplier),Odisha,Uttar Pradesh,1623,390.0,19,0.7,0.2,0.58,0.5,0.6,0.55,0.425,0.804,1,13,Container,33.1,61.1,Heavy,65,138,58.4,597,21450.0,0.54,93,114.17,12
ORD-00069,2025-11-13,11,3,4,0,OPC Cement,Tier 2 (Regional Distributor),Haryana,Telangana,161,77.6,5,0.05,0.7,0.7,0.71,0.6,0.72,0.158,0.324,0,0,Truck,34.1,83.4,Clear,42,826,87.6,809,29488.0,0.7,74,100.96,18
ORD-00070,2025-06-12,6,3,2,0,TMT Steel,Tier 3 (Local Supplier),Haryana,Odisha,484,13.9,15,0.7,0.3,0.5,0.71,0.8,0.55,0.525,0.604,1,4,Truck,38.3,93.3,Detour,50,826,90.8,322,861800.0,0.6,88,108.43,3
ORD-00071,2023-05-24,5,2,2,0,Plywood,Tier 2 (Regional Distributor),Telangana,Uttar Pradesh,337,1118.0,8,0.15,0.8,0.58,0.7,0.6,0.72,0.363,0.538,1,3,Mini Truck,29.7,61.5,Moderate,49,463,80.8,987,106210.0,0.64,53,99.6,22
ORD-00072,2024-09-07,9,5,3,0,HDPE Pipes,Tier 2 (Regional Distributor),Kerala,Bihar,460,521.0,17,0.6,0.1,0.45,0.68,0.7,0.72,0.278,0.446,0,0,Trailer,18.0,46.1,Moderate,29,373,97.3,838,234450.0,0.57,95,99.84,20
ORD-00073,2024-08-28,8,2,3,0,HDPE Pipes,Tier 1 (Large Manufacturer),Gujarat,Bihar,526,258.0,17,0.85,0.1,0.45,0.82,0.7,0.88,0.173,0.512,0,0,Container,27.3,79.3,Moderate,49,788,60.0,241,116100.0,0.64,99,111.63,4
ORD-00074,2023-12-23,12,5,4,0,Vitrified Tiles,Tier 3 (Local Supplier),Rajasthan,Bihar,734,316.0,22,0.0,0.2,0.45,0.65,0.7,0.55,0.469,0.527,1,7,Mini Truck,20.7,92.4,Moderate,45,904,90.4,479,205400.0,0.55,88,92.93,24
ORD-00075,2024-03-06,3,2,1,0,Structural Steel,Tier 3 (Local Supplier),Telangana,Kerala,1748,54.3,28,0.0,0.2,0.68,0.7,0.95,0.55,0.564,0.506,1,27,Trailer,20.6,37.8,Moderate,38,924,64.9,852,4072500.0,0.69,55,95.97,5
ORD-00076,2025-06-24,6,1,2,0,Plywood,Tier 1 (Large Manufacturer),Madhya Pradesh,West Bengal,930,494.0,11,0.7,0.8,0.62,0.55,0.8,0.88,0.114,0.603,1,5,Truck,31.0,69.8,Detour,51,709,75.6,422,46930.0,0.58,78,87.87,9
ORD-00077,2024-08-04,8,6,3,0,HDPE Pipes,Tier 3 (Local Supplier),Kerala,Telangana,1297,102.0,21,0.85,0.1,0.7,0.68,0.6,0.55,0.453,0.482,0,0,Trailer,33.9,64.8,Moderate,45,553,98.3,787,45900.0,0.69,77,94.15,5
ORD-00078,2024-04-26,4,4,2,0,Plywood,Tier 2 (Regional Distributor),Gujarat,Odisha,1213,798.0,13,0.05,0.8,0.5,0.82,0.8,0.72,0.186,0.613,1,26,Truck,23.9,87.7,Detour,43,246,94.1,191,75810.0,0.66,97,114.77,9
ORD-00079,2023-04-05,4,2,2,0,Coarse Aggregate,Tier 2 (Regional Distributor),Telangana,Jharkhand,706,29.0,8,0.05,0.5,0.42,0.7,0.7,0.72,0.295,0.706,1,13,Mini Truck,25.4,79.6,Detour,44,181,91.8,817,34800.0,0.56,78,101.17,12
ORD-00080,2024-02-03,2,5,1,0,Paint,Tier 3 (Local Supplier),Bihar,West Bengal,1005,323.0,9,0.0,0.1,0.62,0.45,0.8,0.55,0.414,0.499,0,0,Container,24.2,36.1,Moderate,53,332,98.3,930,90440.0,0.54,64,101.52,5
ORD-00081,2023-01-12,1,3,1,0,OPC Cement,Tier 2 (Regional Distributor),Gujarat,Karnataka,1067,27.5,9,0.0,0.7,0.72,0.82,0.7,0.72,0.235,0.392,0,0,Container,19.3,39.5,Moderate,52,309,94.2,803,10450.0,0.77,78,114.77,12
ORD-00082,2024-05-25,5,5,2,0,OPC Cement,Tier 2 (Regional Distributor),Karnataka,Odisha,719,57.0,7,0.15,0.7,0.5,0.72,0.8,0.72,0.222,0.515,1,23,Container,20.2,86.3,Moderate,49,370,90.8,256,21660.0,0.61,81,99.62,2
ORD-00083,2024-10-11,10,4,4,0,Electrical Cable,Tier 3 (Local Supplier),Jharkhand,Punjab,233,88.0,18,0.2,0.1,0.74,0.42,0.5,0.55,0.526,0.66,1,3,Container,39.6,59.6,Detour,57,991,87.6,261,193600.0,0.58,98,94.46,24
ORD-00084,2025-07-02,7,2,3,0,River Sand,Tier 3 (Local Supplier),Jharkhand,West Bengal,1778,58.3,14,0.9,0.9,0.62,0.42,0.8,0.55,0.443,0.766,1,5,Container,36.6,80.7,Heavy,52,486,90.9,792,104940.0,0.52,52,105.78,20
ORD-00085,2024-05-21,5,1,2,0,Plywood,Tier 2 (Regional Distributor),Odisha,Odisha,298,629.0,8,0.15,0.8,0.5,0.5,0.8,0.72,0.266,0.527,0,0,Container,25.2,70.4,Moderate,66,683,69.0,816,59755.0,0.5,57,92.04,21
ORD-00086,2024-07-16,7,1,3,0,Electrical Cable,Tier 1 (Large Manufacturer),Punjab,Rajasthan,1717,1360.0,25,0.9,0.1,0.65,0.74,0.3,0.88,0.312,0.511,1,1,Truck,39.0,89.5,Moderate,49,878,76.6,187,2992000.0,0.7,66,105.94,12
ORD-00087,2024-10-16,10,2,4,0,HDPE Pipes,Tier 1 (Large Manufacturer),Karnataka,Karnataka,146,168.0,16,0.2,0.1,0.72,0.72,0.7,0.88,0.171,0.427,0,0,Truck,25.7,37.0,Moderate,44,215,71.1,202,75600.0,0.72,87,100.3,7
ORD-00088,2023-11-09,11,3,4,0,Paint,Tier 1 (Large Manufacturer),Tamil Nadu,Bihar,466,2470.0,6,0.05,0.1,0.45,0.75,0.7,0.88,0.292,0.444,0,0,Container,37.2,77.8,Moderate,41,417,90.3,210,691600.0,0.6,60,102.86,20
ORD-00089,2025-08-12,8,1,3,0,Structural Steel,Tier 1 (Large Manufacturer),Gujarat,Jharkhand,1300,132.8,26,0.85,0.2,0.42,0.82,0.7,0.88,0.254,0.655,1,1,Container,19.8,38.6,Detour,51,186,84.3,636,9960000.0,0.62,68,101.58,23
ORD-00090,2023-02-10,2,4,1,0,Vitrified Tiles,Tier 2 (Regional Distributor),West Bengal,Maharashtra,1767,669.0,27,0.0,0.2,0.78,0.62,0.8,0.72,0.253,0.437,0,0,Trailer,28.9,39.9,Moderate,41,854,85.6,192,434850.0,0.7,64,84.02,1
ORD-00091,2025-03-09,3,6,1,0,Structural Steel,Tier 3 (Local Supplier),Punjab,Punjab,73,7.5,21,0.0,0.2,0.74,0.74,0.5,0.55,0.575,0.554,1,14,Truck,26.2,94.3,Detour,58,251,79.4,707,562500.0,0.74,85,92.79,21
ORD-00092,2024-07-12,7,4,3,0,Structural Steel,Tier 2 (Regional Distributor),Maharashtra,Bihar,904,62.8,24,0.9,0.2,0.45,0.78,0.7,0.72,0.413,0.594,1,11,Trailer,22.6,72.4,Detour,38,651,92.6,836,4710000.0,0.61,75,101.43,8
